#: table_doi: 10.17182/hepdata.74824.v1/t94
#: name: Table 94
#: description: S wave cross section for -T.

#: data_file: Table94.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
1.2149999999999999,1.21,1.22,0.6166,0.2832,-0.2832
1.225,1.22,1.23,0.61,0.2868,-0.2868
1.2349999999999999,1.23,1.24,0.6005,0.2901,-0.2901
1.245,1.24,1.25,0.5882,0.2929,-0.2929
1.255,1.25,1.26,0.5731,0.2952,-0.2952
1.2650000000000001,1.26,1.27,0.5553,0.2969,-0.2969
1.275,1.27,1.28,0.5349,0.2979,-0.2979
1.2850000000000001,1.28,1.29,0.5122,0.2982,-0.2982
1.295,1.29,1.3,0.4873,0.2976,-0.2976
1.3050000000000002,1.3,1.31,0.4604,0.2961,-0.2961
1.315,1.31,1.32,0.4319,0.2936,-0.2936
1.3250000000000002,1.32,1.33,0.402,0.2902,-0.2902
1.335,1.33,1.34,0.3712,0.2856,-0.2856
1.3450000000000002,1.34,1.35,0.34,0.2799,-0.2799
1.355,1.35,1.36,0.3087,0.2731,-0.2731
1.3650000000000002,1.36,1.37,0.278,0.2652,-0.2652
1.375,1.37,1.38,0.2485,0.2564,-0.2564
1.3849999999999998,1.38,1.39,0.2209,0.2467,-0.2467
1.395,1.39,1.4,0.1959,0.2366,-0.2366

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1093,0.1058,-0.1058
0.415,0.41,0.42,0.114,0.1101,-0.1101
0.425,0.42,0.43,0.1206,0.1147,-0.1147
0.435,0.43,0.44,0.1288,0.1196,-0.1196
0.445,0.44,0.45,0.1382,0.1247,-0.1247
0.455,0.45,0.46,0.1487,0.13,-0.13
0.46499999999999997,0.46,0.47,0.1597,0.1355,-0.1355
0.475,0.47,0.48,0.171,0.141,-0.141
0.485,0.48,0.49,0.182,0.1463,-0.1463
0.495,0.49,0.5,0.1926,0.1512,-0.1512
0.505,0.5,0.51,0.2023,0.1555,-0.1555
0.515,0.51,0.52,0.2111,0.159,-0.159
0.525,0.52,0.53,0.2186,0.1617,-0.1617
0.535,0.53,0.54,0.225,0.1634,-0.1634
0.545,0.54,0.55,0.2301,0.1641,-0.1641
0.555,0.55,0.56,0.2341,0.164,-0.164
0.565,0.56,0.57,0.237,0.1631,-0.1631
0.575,0.57,0.58,0.2391,0.1615,-0.1615
0.585,0.58,0.59,0.2404,0.1594,-0.1594
0.595,0.59,0.6,0.2413,0.1571,-0.1571
0.605,0.6,0.61,0.2417,0.1546,-0.1546
0.615,0.61,0.62,0.2421,0.1522,-0.1522
0.625,0.62,0.63,0.2424,0.15,-0.15
0.635,0.63,0.64,0.2429,0.1482,-0.1482
0.645,0.64,0.65,0.2437,0.1467,-0.1467
0.655,0.65,0.66,0.2449,0.1458,-0.1458
0.665,0.66,0.67,0.2466,0.1454,-0.1454
0.675,0.67,0.68,0.2489,0.1455,-0.1455
0.685,0.68,0.69,0.2518,0.1461,-0.1461
0.695,0.69,0.7,0.2553,0.1472,-0.1472
0.705,0.7,0.71,0.2594,0.1487,-0.1487
0.715,0.71,0.72,0.2642,0.1507,-0.1507
0.725,0.72,0.73,0.2696,0.1531,-0.1531
0.735,0.73,0.74,0.2756,0.1559,-0.1559
0.745,0.74,0.75,0.2821,0.1591,-0.1591
0.755,0.75,0.76,0.2891,0.1627,-0.1627
0.765,0.76,0.77,0.2965,0.1667,-0.1667
0.775,0.77,0.78,0.3043,0.1711,-0.1711
0.785,0.78,0.79,0.3123,0.176,-0.176
0.795,0.79,0.8,0.3205,0.1813,-0.1813
0.805,0.8,0.81,0.3289,0.1871,-0.1871
0.815,0.81,0.82,0.3372,0.1934,-0.1934
0.825,0.82,0.83,0.3455,0.2002,-0.2002
0.835,0.83,0.84,0.3536,0.2074,-0.2074
0.845,0.84,0.85,0.3615,0.215,-0.215
0.855,0.85,0.86,0.3689,0.2231,-0.2231
0.865,0.86,0.87,0.3758,0.2316,-0.2316
0.875,0.87,0.88,0.3821,0.2404,-0.2404
0.885,0.88,0.89,0.3876,0.2495,-0.2495
0.895,0.89,0.9,0.3922,0.2589,-0.2589
0.905,0.9,0.91,0.3958,0.2685,-0.2685
0.915,0.91,0.92,0.398,0.2784,-0.2784
0.925,0.92,0.93,0.3988,0.2885,-0.2885
0.935,0.93,0.94,0.3978,0.299,-0.299
0.945,0.94,0.95,0.3946,0.3102,-0.3102
0.955,0.95,0.96,0.3884,0.3228,-0.3228
0.965,0.96,0.97,0.3779,0.339,-0.339
0.975,0.97,0.98,0.3592,0.3652,-0.3652
0.985,0.98,0.99,0.3175,0.4273,-0.4273
0.995,0.99,1.0,0.1415,0.2382,-0.2382
1.005,1.0,1.01,0.1056,0.171,-0.171
1.0150000000000001,1.01,1.02,0.0998,0.152,-0.152
1.025,1.02,1.03,0.1038,0.1446,-0.1446
1.0350000000000001,1.03,1.04,0.113,0.1423,-0.1423
1.045,1.04,1.05,0.1254,0.1431,-0.1431
1.0550000000000002,1.05,1.06,0.14,0.1462,-0.1462
1.065,1.06,1.07,0.1559,0.1515,-0.1515
1.0750000000000002,1.07,1.08,0.1726,0.1587,-0.1587
1.085,1.08,1.09,0.1896,0.1676,-0.1676
1.0950000000000002,1.09,1.1,0.2065,0.178,-0.178
1.105,1.1,1.11,0.223,0.1894,-0.1894
1.1150000000000002,1.11,1.12,0.2389,0.2016,-0.2016
1.125,1.12,1.13,0.2539,0.2142,-0.2142
1.1349999999999998,1.13,1.14,0.2678,0.227,-0.227
1.145,1.14,1.15,0.2804,0.2396,-0.2396
1.1549999999999998,1.15,1.16,0.2915,0.2518,-0.2518
1.165,1.16,1.17,0.3009,0.2633,-0.2633
1.1749999999999998,1.17,1.18,0.3087,0.274,-0.274
1.185,1.18,1.19,0.3146,0.2837,-0.2837
1.1949999999999998,1.19,1.2,0.3187,0.2921,-0.2921
1.205,1.2,1.21,0.3208,0.2993,-0.2993
1.2149999999999999,1.21,1.22,0.3209,0.3049,-0.3049
1.225,1.22,1.23,0.319,0.3091,-0.3091
1.2349999999999999,1.23,1.24,0.3151,0.3116,-0.3116
1.245,1.24,1.25,0.3094,0.3125,-0.3125
1.255,1.25,1.26,0.3019,0.3116,-0.3116
1.2650000000000001,1.26,1.27,0.2926,0.3091,-0.3091
1.275,1.27,1.28,0.2818,0.305,-0.305
1.2850000000000001,1.28,1.29,0.2696,0.2992,-0.2992
1.295,1.29,1.3,0.2562,0.292,-0.292
1.3050000000000002,1.3,1.31,0.242,0.2834,-0.2834
1.315,1.31,1.32,0.2271,0.2736,-0.2736
1.3250000000000002,1.32,1.33,0.212,0.2627,-0.2627
1.335,1.33,1.34,0.1971,0.2512,-0.2512
1.3450000000000002,1.34,1.35,0.1828,0.2392,-0.2392
1.355,1.35,1.36,0.1696,0.2273,-0.2273
1.3650000000000002,1.36,1.37,0.158,0.2161,-0.2161
1.375,1.37,1.38,0.1487,0.2066,-0.2066
1.3849999999999998,1.38,1.39,0.1425,0.1999,-0.1999
1.395,1.39,1.4,0.1399,0.1973,-0.1973

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0536,0.046,-0.046
0.415,0.41,0.42,0.0469,0.0432,-0.0432
0.425,0.42,0.43,0.0412,0.0408,-0.0408
0.435,0.43,0.44,0.0368,0.0388,-0.0388
0.445,0.44,0.45,0.0337,0.0373,-0.0373
0.455,0.45,0.46,0.0319,0.0366,-0.0366
0.46499999999999997,0.46,0.47,0.0316,0.0366,-0.0366
0.475,0.47,0.48,0.0326,0.0373,-0.0373
0.485,0.48,0.49,0.0348,0.0388,-0.0388
0.495,0.49,0.5,0.0382,0.0407,-0.0407
0.505,0.5,0.51,0.0426,0.043,-0.043
0.515,0.51,0.52,0.0478,0.0455,-0.0455
0.525,0.52,0.53,0.0537,0.0481,-0.0481
0.535,0.53,0.54,0.0601,0.0508,-0.0508
0.545,0.54,0.55,0.0669,0.0534,-0.0534
0.555,0.55,0.56,0.074,0.056,-0.056
0.565,0.56,0.57,0.0811,0.0585,-0.0585
0.575,0.57,0.58,0.0884,0.061,-0.061
0.585,0.58,0.59,0.0956,0.0635,-0.0635
0.595,0.59,0.6,0.1029,0.0661,-0.0661
0.605,0.6,0.61,0.1101,0.0688,-0.0688
0.615,0.61,0.62,0.1173,0.0716,-0.0716
0.625,0.62,0.63,0.1245,0.0747,-0.0747
0.635,0.63,0.64,0.1317,0.078,-0.078
0.645,0.64,0.65,0.139,0.0815,-0.0815
0.655,0.65,0.66,0.1464,0.0854,-0.0854
0.665,0.66,0.67,0.154,0.0896,-0.0896
0.675,0.67,0.68,0.1618,0.094,-0.094
0.685,0.68,0.69,0.1698,0.0988,-0.0988
0.695,0.69,0.7,0.1782,0.1037,-0.1037
0.705,0.7,0.71,0.1869,0.109,-0.109
0.715,0.71,0.72,0.196,0.1144,-0.1144
0.725,0.72,0.73,0.2055,0.1199,-0.1199
0.735,0.73,0.74,0.2154,0.1256,-0.1256
0.745,0.74,0.75,0.2257,0.1314,-0.1314
0.755,0.75,0.76,0.2365,0.1372,-0.1372
0.765,0.76,0.77,0.2478,0.143,-0.143
0.775,0.77,0.78,0.2595,0.1489,-0.1489
0.785,0.78,0.79,0.2716,0.1547,-0.1547
0.795,0.79,0.8,0.2841,0.1604,-0.1604
0.805,0.8,0.81,0.2969,0.1662,-0.1662
0.815,0.81,0.82,0.3101,0.1719,-0.1719
0.825,0.82,0.83,0.3235,0.1775,-0.1775
0.835,0.83,0.84,0.3372,0.1832,-0.1832
0.845,0.84,0.85,0.3509,0.189,-0.189
0.855,0.85,0.86,0.3646,0.1948,-0.1948
0.865,0.86,0.87,0.3783,0.2008,-0.2008
0.875,0.87,0.88,0.3918,0.2072,-0.2072
0.885,0.88,0.89,0.4049,0.214,-0.214
0.895,0.89,0.9,0.4176,0.2215,-0.2215
0.905,0.9,0.91,0.4296,0.23,-0.23
0.915,0.91,0.92,0.4407,0.2398,-0.2398
0.925,0.92,0.93,0.4506,0.2516,-0.2516
0.935,0.93,0.94,0.4589,0.2664,-0.2664
0.945,0.94,0.95,0.4648,0.2856,-0.2856
0.955,0.95,0.96,0.4669,0.3124,-0.3124
0.965,0.96,0.97,0.4611,0.3526,-0.3526
0.975,0.97,0.98,0.4344,0.4181,-0.4181
0.985,0.98,0.99,0.3253,0.5096,-0.5096
0.995,0.99,1.0,0.1842,0.3028,-0.3028
1.005,1.0,1.01,0.2037,0.254,-0.254
1.0150000000000001,1.01,1.02,0.2072,0.2304,-0.2304
1.025,1.02,1.03,0.2108,0.2179,-0.2179
1.0350000000000001,1.03,1.04,0.2171,0.212,-0.212
1.045,1.04,1.05,0.2264,0.2105,-0.2105
1.0550000000000002,1.05,1.06,0.2385,0.2121,-0.2121
1.065,1.06,1.07,0.253,0.2158,-0.2158
1.0750000000000002,1.07,1.08,0.2695,0.2211,-0.2211
1.085,1.08,1.09,0.2875,0.2274,-0.2274
