#: table_doi: 10.17182/hepdata.74824.v1/t111
#: name: Table 111
#: description: P0 wave cross section for -T.

#: data_file: Table111.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.575,0.57,0.58,0.3703,0.0746,-0.0746
0.585,0.58,0.59,0.4012,0.0817,-0.0817
0.595,0.59,0.6,0.4363,0.0896,-0.0896
0.605,0.6,0.61,0.4767,0.0981,-0.0981
0.615,0.61,0.62,0.5233,0.1073,-0.1073
0.625,0.62,0.63,0.5773,0.1174,-0.1174
0.635,0.63,0.64,0.64,0.1284,-0.1284
0.645,0.64,0.65,0.7132,0.1405,-0.1405
0.655,0.65,0.66,0.7986,0.1539,-0.1539
0.665,0.66,0.67,0.8981,0.1689,-0.1689
0.675,0.67,0.68,1.0137,0.1856,-0.1856
0.685,0.68,0.69,1.1467,0.2043,-0.2043
0.695,0.69,0.7,1.2974,0.2251,-0.2251
0.705,0.7,0.71,1.4637,0.2478,-0.2478
0.715,0.71,0.72,1.6397,0.2718,-0.2718
0.725,0.72,0.73,1.8144,0.2956,-0.2956
0.735,0.73,0.74,1.971,0.3171,-0.3171
0.745,0.74,0.75,2.0891,0.3331,-0.3331
0.755,0.75,0.76,2.1495,0.3408,-0.3408
0.765,0.76,0.77,2.1415,0.3386,-0.3386
0.775,0.77,0.78,2.0674,0.3266,-0.3266
0.785,0.78,0.79,1.9416,0.3071,-0.3071
0.795,0.79,0.8,1.7843,0.2833,-0.2833
0.805,0.8,0.81,1.6153,0.2585,-0.2585
0.815,0.81,0.82,1.4494,0.2355,-0.2355
0.825,0.82,0.83,1.2958,0.2158,-0.2158
0.835,0.83,0.84,1.159,0.2004,-0.2004
0.845,0.84,0.85,1.04,0.1894,-0.1894
0.855,0.85,0.86,0.9383,0.1825,-0.1825
0.865,0.86,0.87,0.8522,0.1791,-0.1791
0.875,0.87,0.88,0.7799,0.1785,-0.1785
0.885,0.88,0.89,0.7193,0.18,-0.18
0.895,0.89,0.9,0.6689,0.183,-0.183
0.905,0.9,0.91,0.627,0.187,-0.187
0.915,0.91,0.92,0.5923,0.1917,-0.1917
0.925,0.92,0.93,0.5638,0.1969,-0.1969
0.935,0.93,0.94,0.5404,0.2023,-0.2023
0.945,0.94,0.95,0.5215,0.2078,-0.2078
0.955,0.95,0.96,0.5063,0.2133,-0.2133
0.965,0.96,0.97,0.4943,0.2188,-0.2188
0.975,0.97,0.98,0.485,0.2243,-0.2243
0.985,0.98,0.99,0.478,0.2296,-0.2296
0.995,0.99,1.0,0.4729,0.2349,-0.2349
1.005,1.0,1.01,0.4695,0.24,-0.24
1.0150000000000001,1.01,1.02,0.4676,0.2451,-0.2451
1.025,1.02,1.03,0.4667,0.2501,-0.2501
1.0350000000000001,1.03,1.04,0.4669,0.255,-0.255
1.045,1.04,1.05,0.4678,0.2598,-0.2598
1.0550000000000002,1.05,1.06,0.4693,0.2646,-0.2646
1.065,1.06,1.07,0.4713,0.2693,-0.2693
1.0750000000000002,1.07,1.08,0.4736,0.274,-0.274
1.085,1.08,1.09,0.4762,0.2787,-0.2787
1.0950000000000002,1.09,1.1,0.4787,0.2833,-0.2833
1.105,1.1,1.11,0.4813,0.288,-0.288
1.1150000000000002,1.11,1.12,0.4837,0.2926,-0.2926
1.125,1.12,1.13,0.4859,0.2971,-0.2971
1.1349999999999998,1.13,1.14,0.4878,0.3017,-0.3017
1.145,1.14,1.15,0.4894,0.3062,-0.3062
1.1549999999999998,1.15,1.16,0.4904,0.3107,-0.3107
1.165,1.16,1.17,0.491,0.3152,-0.3152
1.1749999999999998,1.17,1.18,0.4909,0.3196,-0.3196
1.185,1.18,1.19,0.4902,0.324,-0.324
1.1949999999999998,1.19,1.2,0.4889,0.3282,-0.3282
1.205,1.2,1.21,0.4868,0.3323,-0.3323
1.2149999999999999,1.21,1.22,0.484,0.3364,-0.3364
1.225,1.22,1.23,0.4805,0.3402,-0.3402
1.2349999999999999,1.23,1.24,0.4762,0.3439,-0.3439
1.245,1.24,1.25,0.4711,0.3473,-0.3473
1.255,1.25,1.26,0.4654,0.3506,-0.3506
1.2650000000000001,1.26,1.27,0.4589,0.3535,-0.3535
1.275,1.27,1.28,0.4518,0.3561,-0.3561
1.2850000000000001,1.28,1.29,0.4441,0.3585,-0.3585
1.295,1.29,1.3,0.4359,0.3604,-0.3604
1.3050000000000002,1.3,1.31,0.4273,0.362,-0.362
1.315,1.31,1.32,0.4183,0.3631,-0.3631
1.3250000000000002,1.32,1.33,0.4092,0.3639,-0.3639
1.335,1.33,1.34,0.4,0.3642,-0.3642
1.3450000000000002,1.34,1.35,0.391,0.3641,-0.3641
1.355,1.35,1.36,0.3824,0.3637,-0.3637
1.3650000000000002,1.36,1.37,0.3743,0.363,-0.363
1.375,1.37,1.38,0.367,0.362,-0.362
1.3849999999999998,1.38,1.39,0.3608,0.361,-0.361
1.395,1.39,1.4,0.356,0.3601,-0.3601

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1027,0.0312,-0.0312
0.415,0.41,0.42,0.1123,0.0338,-0.0338
0.425,0.42,0.43,0.1221,0.0366,-0.0366
0.435,0.43,0.44,0.1324,0.0393,-0.0393
0.445,0.44,0.45,0.143,0.0422,-0.0422
0.455,0.45,0.46,0.1541,0.0452,-0.0452
0.46499999999999997,0.46,0.47,0.1657,0.0483,-0.0483
0.475,0.47,0.48,0.178,0.0515,-0.0515
0.485,0.48,0.49,0.191,0.0549,-0.0549
0.495,0.49,0.5,0.2048,0.0586,-0.0586
0.505,0.5,0.51,0.2196,0.0625,-0.0625
0.515,0.51,0.52,0.2356,0.0668,-0.0668
0.525,0.52,0.53,0.2528,0.0714,-0.0714
0.535,0.53,0.54,0.2715,0.0765,-0.0765
0.545,0.54,0.55,0.2919,0.0822,-0.0822
0.555,0.55,0.56,0.3143,0.0885,-0.0885
0.565,0.56,0.57,0.3389,0.0956,-0.0956
0.575,0.57,0.58,0.3663,0.1036,-0.1036
0.585,0.58,0.59,0.3966,0.1126,-0.1126
0.595,0.59,0.6,0.4306,0.1229,-0.1229
0.605,0.6,0.61,0.4687,0.1347,-0.1347
0.615,0.61,0.62,0.5117,0.1481,-0.1481
0.625,0.62,0.63,0.5602,0.1635,-0.1635
0.635,0.63,0.64,0.6154,0.1812,-0.1812
0.645,0.64,0.65,0.678,0.2014,-0.2014
0.655,0.65,0.66,0.7493,0.2243,-0.2243
0.665,0.66,0.67,0.8302,0.2502,-0.2502
0.675,0.67,0.68,0.9216,0.2791,-0.2791
0.685,0.68,0.69,1.0236,0.3107,-0.3107
0.695,0.69,0.7,1.1355,0.3443,-0.3443
0.705,0.7,0.71,1.2543,0.3783,-0.3783
0.715,0.71,0.72,1.3746,0.4102,-0.4102
0.725,0.72,0.73,1.4868,0.4365,-0.4365
0.735,0.73,0.74,1.5783,0.4527,-0.4527
0.745,0.74,0.75,1.6347,0.4548,-0.4548
0.755,0.75,0.76,1.6443,0.4407,-0.4407
0.765,0.76,0.77,1.6032,0.4115,-0.4115
0.775,0.77,0.78,1.5171,0.372,-0.372
0.785,0.78,0.79,1.3995,0.3291,-0.3291
0.795,0.79,0.8,1.2669,0.2896,-0.2896
0.805,0.8,0.81,1.1336,0.2582,-0.2582
0.815,0.81,0.82,1.0093,0.2366,-0.2366
0.825,0.82,0.83,0.8993,0.2241,-0.2241
0.835,0.83,0.84,0.8054,0.2183,-0.2183
0.845,0.84,0.85,0.7271,0.2166,-0.2166
0.855,0.85,0.86,0.663,0.2172,-0.2172
0.865,0.86,0.87,0.6114,0.2187,-0.2187
0.875,0.87,0.88,0.5702,0.2204,-0.2204
0.885,0.88,0.89,0.5379,0.222,-0.222
0.895,0.89,0.9,0.5128,0.2234,-0.2234
0.905,0.9,0.91,0.4938,0.2246,-0.2246
0.915,0.91,0.92,0.4797,0.2255,-0.2255
0.925,0.92,0.93,0.4698,0.2263,-0.2263
0.935,0.93,0.94,0.4632,0.227,-0.227
0.945,0.94,0.95,0.4593,0.2278,-0.2278
0.955,0.95,0.96,0.4577,0.2286,-0.2286
0.965,0.96,0.97,0.458,0.2296,-0.2296
0.975,0.97,0.98,0.4597,0.2307,-0.2307
0.985,0.98,0.99,0.4626,0.2321,-0.2321
0.995,0.99,1.0,0.4664,0.2336,-0.2336
1.005,1.0,1.01,0.471,0.2354,-0.2354
1.0150000000000001,1.01,1.02,0.476,0.2373,-0.2373
1.025,1.02,1.03,0.4813,0.2395,-0.2395
1.0350000000000001,1.03,1.04,0.4869,0.2418,-0.2418
1.045,1.04,1.05,0.4924,0.2443,-0.2443
1.0550000000000002,1.05,1.06,0.4979,0.2469,-0.2469
1.065,1.06,1.07,0.5031,0.2495,-0.2495
1.0750000000000002,1.07,1.08,0.508,0.2522,-0.2522
1.085,1.08,1.09,0.5125,0.2548,-0.2548
1.0950000000000002,1.09,1.1,0.5165,0.2573,-0.2573
1.105,1.1,1.11,0.5199,0.2598,-0.2598
1.1150000000000002,1.11,1.12,0.5226,0.262,-0.262
1.125,1.12,1.13,0.5246,0.264,-0.264
1.1349999999999998,1.13,1.14,0.5258,0.2657,-0.2657
1.145,1.14,1.15,0.5261,0.2671,-0.2671
1.1549999999999998,1.15,1.16,0.5256,0.2681,-0.2681
1.165,1.16,1.17,0.5241,0.2686,-0.2686
1.1749999999999998,1.17,1.18,0.5217,0.2688,-0.2688
1.185,1.18,1.19,0.5183,0.2685,-0.2685
1.1949999999999998,1.19,1.2,0.5139,0.2677,-0.2677
1.205,1.2,1.21,0.5086,0.2663,-0.2663
1.2149999999999999,1.21,1.22,0.5022,0.2645,-0.2645
1.225,1.22,1.23,0.4949,0.2622,-0.2622
1.2349999999999999,1.23,1.24,0.4866,0.2593,-0.2593
1.245,1.24,1.25,0.4775,0.2561,-0.2561
1.255,1.25,1.26,0.4675,0.2524,-0.2524
1.2650000000000001,1.26,1.27,0.4568,0.2483,-0.2483
1.275,1.27,1.28,0.4454,0.244,-0.244
1.2850000000000001,1.28,1.29,0.4335,0.2395,-0.2395
1.295,1.29,1.3,0.4212,0.2349,-0.2349
1.3050000000000002,1.3,1.31,0.4086,0.2304,-0.2304
1.315,1.31,1.32,0.396,0.2261,-0.2261
1.3250000000000002,1.32,1.33,0.3834,0.2222,-0.2222
1.335,1.33,1.34,0.3712,0.219,-0.219
1.3450000000000002,1.34,1.35,0.3595,0.2166,-0.2166
1.355,1.35,1.36,0.3486,0.2153,-0.2153
1.3650000000000002,1.36,1.37,0.3389,0.2154,-0.2154
1.375,1.37,1.38,0.3307,0.217,-0.217
1.3849999999999998,1.38,1.39,0.3243,0.2205,-0.2205
1.395,1.39,1.4,0.3202,0.2261,-0.2261

