#: table_doi: 10.17182/hepdata.74824.v1/t136
#: name: Table 136
#: description: D0 wave cross section for -T.

#: data_file: Table136.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.815,0.81,0.82,0.2067,0.0856,-0.0856
0.825,0.82,0.83,0.2087,0.087,-0.087
0.835,0.83,0.84,0.2106,0.0884,-0.0884
0.845,0.84,0.85,0.2125,0.09,-0.09
0.855,0.85,0.86,0.2143,0.0917,-0.0917
0.865,0.86,0.87,0.2161,0.0936,-0.0936
0.875,0.87,0.88,0.2179,0.0956,-0.0956
0.885,0.88,0.89,0.2197,0.0977,-0.0977
0.895,0.89,0.9,0.2215,0.1,-0.1
0.905,0.9,0.91,0.2233,0.1025,-0.1025
0.915,0.91,0.92,0.2252,0.1052,-0.1052
0.925,0.92,0.93,0.227,0.108,-0.108
0.935,0.93,0.94,0.2289,0.1111,-0.1111
0.945,0.94,0.95,0.2309,0.1143,-0.1143
0.955,0.95,0.96,0.2328,0.1178,-0.1178
0.965,0.96,0.97,0.2348,0.1214,-0.1214
0.975,0.97,0.98,0.2369,0.1252,-0.1252
0.985,0.98,0.99,0.239,0.1292,-0.1292
0.995,0.99,1.0,0.2412,0.1333,-0.1333
1.005,1.0,1.01,0.2433,0.1376,-0.1376
1.0150000000000001,1.01,1.02,0.2456,0.1419,-0.1419
1.025,1.02,1.03,0.2479,0.1464,-0.1464
1.0350000000000001,1.03,1.04,0.2502,0.1509,-0.1509
1.045,1.04,1.05,0.2526,0.1554,-0.1554
1.0550000000000002,1.05,1.06,0.2551,0.1599,-0.1599
1.065,1.06,1.07,0.2577,0.1643,-0.1643
1.0750000000000002,1.07,1.08,0.2603,0.1685,-0.1685
1.085,1.08,1.09,0.263,0.1724,-0.1724
1.0950000000000002,1.09,1.1,0.2659,0.1761,-0.1761
1.105,1.1,1.11,0.2689,0.1793,-0.1793
1.1150000000000002,1.11,1.12,0.2721,0.1821,-0.1821
1.125,1.12,1.13,0.2755,0.1843,-0.1843
1.1349999999999998,1.13,1.14,0.2792,0.1858,-0.1858
1.145,1.14,1.15,0.2832,0.1865,-0.1865
1.1549999999999998,1.15,1.16,0.2876,0.1864,-0.1864
1.165,1.16,1.17,0.2924,0.1852,-0.1852
1.1749999999999998,1.17,1.18,0.2977,0.183,-0.183
1.185,1.18,1.19,0.3035,0.1798,-0.1798
1.1949999999999998,1.19,1.2,0.3098,0.1755,-0.1755
1.205,1.2,1.21,0.3164,0.1705,-0.1705
1.2149999999999999,1.21,1.22,0.3232,0.165,-0.165
1.225,1.22,1.23,0.3297,0.1596,-0.1596
1.2349999999999999,1.23,1.24,0.3354,0.1551,-0.1551
1.245,1.24,1.25,0.3396,0.1525,-0.1525
1.255,1.25,1.26,0.3413,0.1528,-0.1528
