#: table_doi: 10.17182/hepdata.74824.v1/t178
#: name: Table 178
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table178.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10)",error +,error -
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10)",error +,error -
0.405,0.4,0.41,0.0455,0.0459,-0.0459
0.415,0.41,0.42,0.0311,0.0408,-0.0408
0.425,0.42,0.43,0.0177,0.0363,-0.0363
0.435,0.43,0.44,0.0058,0.0327,-0.0327
0.445,0.44,0.45,-0.0045,0.0299,-0.0299
0.455,0.45,0.46,-0.013,0.0279,-0.0279
0.46499999999999997,0.46,0.47,-0.0197,0.0266,-0.0266
0.475,0.47,0.48,-0.0247,0.0257,-0.0257
0.485,0.48,0.49,-0.0282,0.0252,-0.0252
0.495,0.49,0.5,-0.0302,0.0249,-0.0249
0.505,0.5,0.51,-0.0311,0.0247,-0.0247
0.515,0.51,0.52,-0.031,0.0246,-0.0246
0.525,0.52,0.53,-0.0301,0.0246,-0.0246
0.535,0.53,0.54,-0.0286,0.0246,-0.0246
0.545,0.54,0.55,-0.0266,0.0244,-0.0244
0.555,0.55,0.56,-0.0243,0.0242,-0.0242
0.565,0.56,0.57,-0.0218,0.0238,-0.0238
0.575,0.57,0.58,-0.0193,0.0231,-0.0231
0.585,0.58,0.59,-0.0167,0.0223,-0.0223
0.595,0.59,0.6,-0.0142,0.0212,-0.0212
0.605,0.6,0.61,-0.0119,0.0199,-0.0199
0.615,0.61,0.62,-0.0096,0.0185,-0.0185
0.625,0.62,0.63,-0.0076,0.017,-0.017
0.635,0.63,0.64,-0.0056,0.0156,-0.0156
0.645,0.64,0.65,-0.0038,0.0142,-0.0142
0.655,0.65,0.66,-0.0022,0.013,-0.013
0.665,0.66,0.67,-0.0005,0.0121,-0.0121
0.675,0.67,0.68,0.0011,0.0114,-0.0114
0.685,0.68,0.69,0.0027,0.0109,-0.0109
0.695,0.69,0.7,0.0044,0.0105,-0.0105
0.705,0.7,0.71,0.0063,0.0101,-0.0101
0.715,0.71,0.72,0.0085,0.0097,-0.0097
0.725,0.72,0.73,0.0109,0.0092,-0.0092
0.735,0.73,0.74,0.0136,0.0086,-0.0086
0.745,0.74,0.75,0.0167,0.0081,-0.0081
0.755,0.75,0.76,0.02,0.0077,-0.0077
0.765,0.76,0.77,0.0238,0.0077,-0.0077
0.775,0.77,0.78,0.0278,0.0081,-0.0081
0.785,0.78,0.79,0.0321,0.0088,-0.0088
0.795,0.79,0.8,0.0367,0.0099,-0.0099
0.805,0.8,0.81,0.0414,0.011,-0.011
0.815,0.81,0.82,0.0463,0.0122,-0.0122
0.825,0.82,0.83,0.0513,0.0134,-0.0134
0.835,0.83,0.84,0.0563,0.0145,-0.0145
0.845,0.84,0.85,0.0614,0.0155,-0.0155
0.855,0.85,0.86,0.0664,0.0164,-0.0164
0.865,0.86,0.87,0.0714,0.0173,-0.0173
0.875,0.87,0.88,0.0763,0.0183,-0.0183
0.885,0.88,0.89,0.0811,0.0193,-0.0193
0.895,0.89,0.9,0.0858,0.0204,-0.0204
0.905,0.9,0.91,0.0904,0.0216,-0.0216
0.915,0.91,0.92,0.095,0.0228,-0.0228
0.925,0.92,0.93,0.0994,0.0241,-0.0241
0.935,0.93,0.94,0.1038,0.0253,-0.0253
0.945,0.94,0.95,0.1082,0.0264,-0.0264
0.955,0.95,0.96,0.1126,0.0272,-0.0272
0.965,0.96,0.97,0.1171,0.0275,-0.0275
0.975,0.97,0.98,0.1215,0.0267,-0.0267
0.985,0.98,0.99,0.1232,0.0252,-0.0252
0.995,0.99,1.0,0.1138,0.0273,-0.0273
1.005,1.0,1.01,0.1168,0.0281,-0.0281
1.0150000000000001,1.01,1.02,0.1189,0.0298,-0.0298
1.025,1.02,1.03,0.1209,0.0316,-0.0316
1.0350000000000001,1.03,1.04,0.1231,0.0333,-0.0333
1.045,1.04,1.05,0.1254,0.0349,-0.0349
1.0550000000000002,1.05,1.06,0.1278,0.0364,-0.0364
1.065,1.06,1.07,0.1304,0.0377,-0.0377
1.0750000000000002,1.07,1.08,0.1332,0.0388,-0.0388
1.085,1.08,1.09,0.1361,0.0397,-0.0397
1.0950000000000002,1.09,1.1,0.139,0.0404,-0.0404
1.105,1.1,1.11,0.1421,0.0408,-0.0408
1.1150000000000002,1.11,1.12,0.1453,0.041,-0.041
1.125,1.12,1.13,0.1485,0.0409,-0.0409
1.1349999999999998,1.13,1.14,0.1517,0.0405,-0.0405
1.145,1.14,1.15,0.155,0.0399,-0.0399
1.1549999999999998,1.15,1.16,0.1581,0.039,-0.039
1.165,1.16,1.17,0.1612,0.0379,-0.0379
1.1749999999999998,1.17,1.18,0.1641,0.0365,-0.0365
1.185,1.18,1.19,0.1668,0.035,-0.035
1.1949999999999998,1.19,1.2,0.1692,0.0334,-0.0334
1.205,1.2,1.21,0.1713,0.0318,-0.0318
1.2149999999999999,1.21,1.22,0.1729,0.0303,-0.0303
1.225,1.22,1.23,0.1742,0.0291,-0.0291
1.2349999999999999,1.23,1.24,0.1751,0.0283,-0.0283
1.245,1.24,1.25,0.1757,0.0279,-0.0279
1.255,1.25,1.26,0.1762,0.0281,-0.0281
1.2650000000000001,1.26,1.27,0.1767,0.0289,-0.0289
1.275,1.27,1.28,0.1775,0.0301,-0.0301
1.2850000000000001,1.28,1.29,0.1787,0.0317,-0.0317
1.295,1.29,1.3,0.1804,0.0335,-0.0335
1.3050000000000002,1.3,1.31,0.1825,0.0353,-0.0353
1.315,1.31,1.32,0.1849,0.037,-0.037
1.3250000000000002,1.32,1.33,0.1874,0.0385,-0.0385
1.335,1.33,1.34,0.1894,0.0396,-0.0396
1.3450000000000002,1.34,1.35,0.1907,0.0403,-0.0403
1.355,1.35,1.36,0.1909,0.0404,-0.0404
1.3650000000000002,1.36,1.37,0.1895,0.0401,-0.0401
1.375,1.37,1.38,0.1862,0.0393,-0.0393
1.3849999999999998,1.38,1.39,0.181,0.0383,-0.0383
1.395,1.39,1.4,0.1736,0.0375,-0.0375

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10)",error +,error -
0.405,0.4,0.41,0.0013,0.0215,-0.0215
0.415,0.41,0.42,-0.0049,0.0237,-0.0237
0.425,0.42,0.43,-0.0102,0.0268,-0.0268
0.435,0.43,0.44,-0.0145,0.0302,-0.0302
0.445,0.44,0.45,-0.0176,0.0336,-0.0336
0.455,0.45,0.46,-0.0196,0.0369,-0.0369
0.46499999999999997,0.46,0.47,-0.0206,0.0398,-0.0398
0.475,0.47,0.48,-0.0205,0.0423,-0.0423
0.485,0.48,0.49,-0.0196,0.0443,-0.0443
0.495,0.49,0.5,-0.0181,0.0458,-0.0458
0.505,0.5,0.51,-0.0161,0.0468,-0.0468
0.515,0.51,0.52,-0.0138,0.0473,-0.0473
0.525,0.52,0.53,-0.0113,0.0472,-0.0472
0.535,0.53,0.54,-0.0088,0.0466,-0.0466
0.545,0.54,0.55,-0.0064,0.0456,-0.0456
0.555,0.55,0.56,-0.0042,0.044,-0.044
0.565,0.56,0.57,-0.0022,0.0421,-0.0421
0.575,0.57,0.58,-0.0004,0.0398,-0.0398
0.585,0.58,0.59,0.001,0.0372,-0.0372
0.595,0.59,0.6,0.0021,0.0344,-0.0344
0.605,0.6,0.61,0.003,0.0314,-0.0314
0.615,0.61,0.62,0.0036,0.0284,-0.0284
0.625,0.62,0.63,0.004,0.0254,-0.0254
0.635,0.63,0.64,0.0042,0.0225,-0.0225
0.645,0.64,0.65,0.0043,0.0199,-0.0199
0.655,0.65,0.66,0.0043,0.0175,-0.0175
0.665,0.66,0.67,0.0043,0.0155,-0.0155
0.675,0.67,0.68,0.0044,0.0139,-0.0139
0.685,0.68,0.69,0.0046,0.0128,-0.0128
0.695,0.69,0.7,0.0051,0.0121,-0.0121
0.705,0.7,0.71,0.0058,0.0117,-0.0117
0.715,0.71,0.72,0.0068,0.0116,-0.0116
0.725,0.72,0.73,0.0083,0.0117,-0.0117
0.735,0.73,0.74,0.0101,0.0118,-0.0118
0.745,0.74,0.75,0.0125,0.0121,-0.0121
0.755,0.75,0.76,0.0154,0.0123,-0.0123
0.765,0.76,0.77,0.0188,0.0127,-0.0127
0.775,0.77,0.78,0.0227,0.0131,-0.0131
0.785,0.78,0.79,0.0271,0.0136,-0.0136
0.795,0.79,0.8,0.0319,0.0142,-0.0142
0.805,0.8,0.81,0.0372,0.0148,-0.0148
0.815,0.81,0.82,0.0427,0.0153,-0.0153
0.825,0.82,0.83,0.0484,0.016,-0.016
0.835,0.83,0.84,0.0544,0.0167,-0.0167
0.845,0.84,0.85,0.0604,0.0175,-0.0175
0.855,0.85,0.86,0.0665,0.0185,-0.0185
0.865,0.86,0.87,0.0725,0.0196,-0.0196
0.875,0.87,0.88,0.0784,0.0208,-0.0208
0.885,0.88,0.89,0.0841,0.0222,-0.0222
0.895,0.89,0.9,0.0897,0.0238,-0.0238
0.905,0.9,0.91,0.0949,0.0256,-0.0256
0.915,0.91,0.92,0.0999,0.0277,-0.0277
0.925,0.92,0.93,0.1045,0.0302,-0.0302
0.935,0.93,0.94,0.1086,0.033,-0.033
0.945,0.94,0.95,0.1123,0.0365,-0.0365
0.955,0.95,0.96,0.1153,0.0408,-0.0408
0.965,0.96,0.97,0.1173,0.0465,-0.0465
0.975,0.97,0.98,0.1176,0.0546,-0.0546
0.985,0.98,0.99,0.1151,0.0662,-0.0662
0.995,0.99,1.0,0.1297,0.0573,-0.0573
1.005,1.0,1.01,0.1314,0.055,-0.055
1.0150000000000001,1.01,1.02,0.1334,0.0544,-0.0544
1.025,1.02,1.03,0.1355,0.0541,-0.0541
1.0350000000000001,1.03,1.04,0.1375,0.0538,-0.0538
1.045,1.04,1.05,0.1396,0.0535,-0.0535
