#: table_doi: 10.17182/hepdata.74824.v1/t183
#: name: Table 183
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table183.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
1.2349999999999999,1.23,1.24,-0.0904,0.0216,-0.0216
1.245,1.24,1.25,-0.0912,0.0208,-0.0208
1.255,1.25,1.26,-0.0926,0.02,-0.02
1.2650000000000001,1.26,1.27,-0.0946,0.0194,-0.0194
1.275,1.27,1.28,-0.0974,0.0192,-0.0192
1.2850000000000001,1.28,1.29,-0.1011,0.0193,-0.0193
1.295,1.29,1.3,-0.1057,0.0198,-0.0198
1.3050000000000002,1.3,1.31,-0.1114,0.0206,-0.0206
1.315,1.31,1.32,-0.1179,0.0218,-0.0218
1.3250000000000002,1.32,1.33,-0.1252,0.0231,-0.0231
1.335,1.33,1.34,-0.133,0.0247,-0.0247
1.3450000000000002,1.34,1.35,-0.1411,0.0262,-0.0262
1.355,1.35,1.36,-0.1492,0.0277,-0.0277
1.3650000000000002,1.36,1.37,-0.157,0.0291,-0.0291
1.375,1.37,1.38,-0.164,0.0301,-0.0301
1.3849999999999998,1.38,1.39,-0.1699,0.0309,-0.0309
1.395,1.39,1.4,-0.1744,0.0315,-0.0315

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.405,0.4,0.41,-0.0321,0.0377,-0.0377
0.415,0.41,0.42,-0.028,0.0343,-0.0343
0.425,0.42,0.43,-0.0242,0.0313,-0.0313
0.435,0.43,0.44,-0.0207,0.0288,-0.0288
0.445,0.44,0.45,-0.0175,0.0269,-0.0269
0.455,0.45,0.46,-0.0146,0.0256,-0.0256
0.46499999999999997,0.46,0.47,-0.0119,0.0248,-0.0248
0.475,0.47,0.48,-0.0093,0.0245,-0.0245
0.485,0.48,0.49,-0.0068,0.0246,-0.0246
0.495,0.49,0.5,-0.0044,0.025,-0.025
0.505,0.5,0.51,-0.0021,0.0256,-0.0256
0.515,0.51,0.52,0.0004,0.0263,-0.0263
0.525,0.52,0.53,0.0028,0.0269,-0.0269
0.535,0.53,0.54,0.0054,0.0274,-0.0274
0.545,0.54,0.55,0.008,0.0278,-0.0278
0.555,0.55,0.56,0.0107,0.0279,-0.0279
0.565,0.56,0.57,0.0135,0.0277,-0.0277
0.575,0.57,0.58,0.0163,0.0272,-0.0272
0.585,0.58,0.59,0.0191,0.0262,-0.0262
