#: table_doi: 10.17182/hepdata.74824.v1/t161
#: name: Table 161
#: description: F0 wave cross section for -T.

#: data_file: Table161.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=f0wave) [MUB/GEV**3]",error +,error -
0.995,0.99,1.0,0.078,0.0416,-0.0416
1.005,1.0,1.01,0.0781,0.0416,-0.0416
1.0150000000000001,1.01,1.02,0.0782,0.0416,-0.0416
1.025,1.02,1.03,0.0783,0.0415,-0.0415
1.0350000000000001,1.03,1.04,0.0785,0.0415,-0.0415
1.045,1.04,1.05,0.0786,0.0414,-0.0414
1.0550000000000002,1.05,1.06,0.0788,0.0414,-0.0414
1.065,1.06,1.07,0.0791,0.0413,-0.0413
1.0750000000000002,1.07,1.08,0.0793,0.0412,-0.0412
1.085,1.08,1.09,0.0796,0.0412,-0.0412
1.0950000000000002,1.09,1.1,0.08,0.0411,-0.0411
1.105,1.1,1.11,0.0804,0.0411,-0.0411
1.1150000000000002,1.11,1.12,0.0809,0.0411,-0.0411
1.125,1.12,1.13,0.0814,0.0411,-0.0411
1.1349999999999998,1.13,1.14,0.082,0.0411,-0.0411
1.145,1.14,1.15,0.0826,0.0411,-0.0411
1.1549999999999998,1.15,1.16,0.0834,0.0412,-0.0412
1.165,1.16,1.17,0.0842,0.0414,-0.0414
1.1749999999999998,1.17,1.18,0.0852,0.0415,-0.0415
1.185,1.18,1.19,0.0862,0.0418,-0.0418
1.1949999999999998,1.19,1.2,0.0873,0.0421,-0.0421
1.205,1.2,1.21,0.0886,0.0424,-0.0424
1.2149999999999999,1.21,1.22,0.0899,0.0429,-0.0429
1.225,1.22,1.23,0.0914,0.0434,-0.0434
1.2349999999999999,1.23,1.24,0.093,0.044,-0.044
1.245,1.24,1.25,0.0947,0.0448,-0.0448
1.255,1.25,1.26,0.0966,0.0456,-0.0456
1.2650000000000001,1.26,1.27,0.0987,0.0465,-0.0465
1.275,1.27,1.28,0.1008,0.0475,-0.0475
1.2850000000000001,1.28,1.29,0.1032,0.0487,-0.0487
1.295,1.29,1.3,0.1057,0.05,-0.05
1.3050000000000002,1.3,1.31,0.1084,0.0514,-0.0514
1.315,1.31,1.32,0.1113,0.0529,-0.0529
1.3250000000000002,1.32,1.33,0.1144,0.0546,-0.0546
1.335,1.33,1.34,0.1177,0.0565,-0.0565
1.3450000000000002,1.34,1.35,0.1213,0.0584,-0.0584
1.355,1.35,1.36,0.125,0.0605,-0.0605
1.3650000000000002,1.36,1.37,0.1289,0.0628,-0.0628
1.375,1.37,1.38,0.1331,0.0652,-0.0652
1.3849999999999998,1.38,1.39,0.1376,0.0677,-0.0677
1.395,1.39,1.4,0.1423,0.0704,-0.0704

