#: table_doi: 10.17182/hepdata.74824.v1/t141
#: name: Table 141
#: description: Dp wave cross section for -T.

#: data_file: Table141.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
0.795,0.79,0.8,0.1264,0.0684,-0.0684
0.805,0.8,0.81,0.1246,0.068,-0.068
0.815,0.81,0.82,0.1228,0.0675,-0.0675
0.825,0.82,0.83,0.1209,0.067,-0.067
0.835,0.83,0.84,0.119,0.0664,-0.0664
0.845,0.84,0.85,0.1172,0.0658,-0.0658
0.855,0.85,0.86,0.1153,0.0652,-0.0652
0.865,0.86,0.87,0.1135,0.0645,-0.0645
0.875,0.87,0.88,0.1116,0.0638,-0.0638
0.885,0.88,0.89,0.1098,0.063,-0.063
0.895,0.89,0.9,0.108,0.0623,-0.0623
0.905,0.9,0.91,0.1062,0.0616,-0.0616
0.915,0.91,0.92,0.1045,0.0609,-0.0609
0.925,0.92,0.93,0.1027,0.0603,-0.0603
0.935,0.93,0.94,0.1009,0.0597,-0.0597
0.945,0.94,0.95,0.0992,0.0592,-0.0592
0.955,0.95,0.96,0.0974,0.0588,-0.0588
0.965,0.96,0.97,0.0955,0.0584,-0.0584
0.975,0.97,0.98,0.0936,0.0581,-0.0581
0.985,0.98,0.99,0.0917,0.0578,-0.0578
0.995,0.99,1.0,0.0896,0.0576,-0.0576
1.005,1.0,1.01,0.0875,0.0574,-0.0574
1.0150000000000001,1.01,1.02,0.0852,0.0572,-0.0572
1.025,1.02,1.03,0.0829,0.057,-0.057
1.0350000000000001,1.03,1.04,0.0804,0.0568,-0.0568
1.045,1.04,1.05,0.0777,0.0565,-0.0565
1.0550000000000002,1.05,1.06,0.075,0.0562,-0.0562
1.065,1.06,1.07,0.0721,0.0558,-0.0558
1.0750000000000002,1.07,1.08,0.0692,0.0554,-0.0554
1.085,1.08,1.09,0.0662,0.055,-0.055
1.0950000000000002,1.09,1.1,0.0633,0.0546,-0.0546
1.105,1.1,1.11,0.0604,0.0543,-0.0543
1.1150000000000002,1.11,1.12,0.0578,0.0541,-0.0541
1.125,1.12,1.13,0.0556,0.0542,-0.0542
1.1349999999999998,1.13,1.14,0.054,0.0547,-0.0547
1.145,1.14,1.15,0.0533,0.0559,-0.0559
