#: table_doi: 10.17182/hepdata.74824.v1/t104
#: name: Table 104
#: description: Pm wave cross section for -T.

#: data_file: Table104.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
1.3849999999999998,1.38,1.39,0.4498,0.3573,-0.3573
1.395,1.39,1.4,0.4775,0.3882,-0.3882

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0993,0.06,-0.06
0.415,0.41,0.42,0.1045,0.0646,-0.0646
0.425,0.42,0.43,0.1093,0.0691,-0.0691
0.435,0.43,0.44,0.1138,0.0736,-0.0736
0.445,0.44,0.45,0.1179,0.078,-0.078
0.455,0.45,0.46,0.1217,0.0823,-0.0823
0.46499999999999997,0.46,0.47,0.1251,0.0867,-0.0867
0.475,0.47,0.48,0.1282,0.091,-0.091
0.485,0.48,0.49,0.1309,0.0953,-0.0953
0.495,0.49,0.5,0.1334,0.0996,-0.0996
0.505,0.5,0.51,0.1355,0.1039,-0.1039
0.515,0.51,0.52,0.1374,0.1082,-0.1082
0.525,0.52,0.53,0.139,0.1125,-0.1125
0.535,0.53,0.54,0.1405,0.1169,-0.1169
0.545,0.54,0.55,0.1417,0.1212,-0.1212
0.555,0.55,0.56,0.1429,0.1255,-0.1255
0.565,0.56,0.57,0.1439,0.1298,-0.1298
0.575,0.57,0.58,0.145,0.1339,-0.1339
0.585,0.58,0.59,0.1463,0.1379,-0.1379
0.595,0.59,0.6,0.1477,0.1416,-0.1416
0.605,0.6,0.61,0.1496,0.1448,-0.1448
0.615,0.61,0.62,0.1521,0.1474,-0.1474
0.625,0.62,0.63,0.1556,0.1491,-0.1491
0.635,0.63,0.64,0.1603,0.1495,-0.1495
0.645,0.64,0.65,0.1667,0.1483,-0.1483
0.655,0.65,0.66,0.1756,0.1449,-0.1449
0.665,0.66,0.67,0.1876,0.1389,-0.1389
0.675,0.67,0.68,0.2039,0.1301,-0.1301
0.685,0.68,0.69,0.2256,0.1196,-0.1196
0.695,0.69,0.7,0.2542,0.1121,-0.1121
0.705,0.7,0.71,0.291,0.1181,-0.1181
0.715,0.71,0.72,0.3371,0.1493,-0.1493
0.725,0.72,0.73,0.3925,0.2076,-0.2076
0.735,0.73,0.74,0.4553,0.2867,-0.2867
0.745,0.74,0.75,0.5217,0.3779,-0.3779
0.755,0.75,0.76,0.5857,0.4705,-0.4705
0.765,0.76,0.77,0.6407,0.5536,-0.5536
0.775,0.77,0.78,0.6815,0.6185,-0.6185
0.785,0.78,0.79,0.7062,0.6607,-0.6607
0.795,0.79,0.8,0.7157,0.6805,-0.6805
0.805,0.8,0.81,0.7131,0.6817,-0.6817
0.815,0.81,0.82,0.702,0.6693,-0.6693
0.825,0.82,0.83,0.6858,0.6481,-0.6481
0.835,0.83,0.84,0.6669,0.6219,-0.6219
0.845,0.84,0.85,0.6472,0.5935,-0.5935
0.855,0.85,0.86,0.6278,0.5648,-0.5648
0.865,0.86,0.87,0.6093,0.5368,-0.5368
0.875,0.87,0.88,0.5921,0.5103,-0.5103
0.885,0.88,0.89,0.5762,0.4856,-0.4856
0.895,0.89,0.9,0.5617,0.4627,-0.4627
0.905,0.9,0.91,0.5486,0.4417,-0.4417
0.915,0.91,0.92,0.5366,0.4225,-0.4225
0.925,0.92,0.93,0.5257,0.405,-0.405
0.935,0.93,0.94,0.5158,0.3891,-0.3891
0.945,0.94,0.95,0.5068,0.3746,-0.3746
0.955,0.95,0.96,0.4984,0.3615,-0.3615
0.965,0.96,0.97,0.4907,0.3496,-0.3496
0.975,0.97,0.98,0.4835,0.3388,-0.3388
0.985,0.98,0.99,0.4767,0.3291,-0.3291
0.995,0.99,1.0,0.4703,0.3202,-0.3202
1.005,1.0,1.01,0.4641,0.3122,-0.3122
1.0150000000000001,1.01,1.02,0.4581,0.305,-0.305
1.025,1.02,1.03,0.4523,0.2984,-0.2984
1.0350000000000001,1.03,1.04,0.4465,0.2925,-0.2925
1.045,1.04,1.05,0.4407,0.2871,-0.2871
1.0550000000000002,1.05,1.06,0.4348,0.2822,-0.2822
1.065,1.06,1.07,0.4289,0.2777,-0.2777
1.0750000000000002,1.07,1.08,0.4229,0.2736,-0.2736
1.085,1.08,1.09,0.4167,0.2698,-0.2698
1.0950000000000002,1.09,1.1,0.4103,0.2663,-0.2663
1.105,1.1,1.11,0.4036,0.263,-0.263
1.1150000000000002,1.11,1.12,0.3968,0.2599,-0.2599
1.125,1.12,1.13,0.3897,0.257,-0.257
1.1349999999999998,1.13,1.14,0.3824,0.2542,-0.2542
1.145,1.14,1.15,0.3747,0.2514,-0.2514
1.1549999999999998,1.15,1.16,0.3669,0.2488,-0.2488
1.165,1.16,1.17,0.3588,0.2462,-0.2462
1.1749999999999998,1.17,1.18,0.3505,0.2437,-0.2437
1.185,1.18,1.19,0.3421,0.2412,-0.2412
1.1949999999999998,1.19,1.2,0.3334,0.2388,-0.2388
1.205,1.2,1.21,0.3248,0.2364,-0.2364
1.2149999999999999,1.21,1.22,0.316,0.2341,-0.2341
1.225,1.22,1.23,0.3073,0.2319,-0.2319
1.2349999999999999,1.23,1.24,0.2988,0.2299,-0.2299
1.245,1.24,1.25,0.2905,0.228,-0.228
1.255,1.25,1.26,0.2825,0.2263,-0.2263
1.2650000000000001,1.26,1.27,0.275,0.225,-0.225
1.275,1.27,1.28,0.268,0.224,-0.224
1.2850000000000001,1.28,1.29,0.2619,0.2235,-0.2235
1.295,1.29,1.3,0.2567,0.2235,-0.2235
1.3050000000000002,1.3,1.31,0.2526,0.2243,-0.2243
1.315,1.31,1.32,0.2499,0.2259,-0.2259
1.3250000000000002,1.32,1.33,0.2488,0.2285,-0.2285
1.335,1.33,1.34,0.2496,0.2323,-0.2323
1.3450000000000002,1.34,1.35,0.2525,0.2376,-0.2376
1.355,1.35,1.36,0.2578,0.2447,-0.2447
1.3650000000000002,1.36,1.37,0.266,0.2539,-0.2539
1.375,1.37,1.38,0.2773,0.2655,-0.2655
1.3849999999999998,1.38,1.39,0.2922,0.28,-0.28
1.395,1.39,1.4,0.3111,0.2977,-0.2977

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0846,0.1049,-0.1049
0.415,0.41,0.42,0.0892,0.1099,-0.1099
0.425,0.42,0.43,0.0937,0.1143,-0.1143
0.435,0.43,0.44,0.0981,0.1182,-0.1182
0.445,0.44,0.45,0.1024,0.1215,-0.1215
0.455,0.45,0.46,0.1066,0.1242,-0.1242
0.46499999999999997,0.46,0.47,0.1109,0.1263,-0.1263
0.475,0.47,0.48,0.1153,0.1277,-0.1277
0.485,0.48,0.49,0.1199,0.1284,-0.1284
0.495,0.49,0.5,0.1247,0.1283,-0.1283
0.505,0.5,0.51,0.13,0.1275,-0.1275
0.515,0.51,0.52,0.1357,0.1258,-0.1258
0.525,0.52,0.53,0.1422,0.1232,-0.1232
0.535,0.53,0.54,0.1494,0.1198,-0.1198
0.545,0.54,0.55,0.1578,0.1153,-0.1153
0.555,0.55,0.56,0.1675,0.1099,-0.1099
0.565,0.56,0.57,0.1787,0.1036,-0.1036
0.575,0.57,0.58,0.192,0.0966,-0.0966
0.585,0.58,0.59,0.2077,0.0893,-0.0893
0.595,0.59,0.6,0.2264,0.0827,-0.0827
0.605,0.6,0.61,0.2487,0.0788,-0.0788
0.615,0.61,0.62,0.2753,0.0805,-0.0805
0.625,0.62,0.63,0.3074,0.0907,-0.0907
0.635,0.63,0.64,0.346,0.1112,-0.1112
0.645,0.64,0.65,0.3926,0.1421,-0.1421
0.655,0.65,0.66,0.4488,0.1833,-0.1833
0.665,0.66,0.67,0.5165,0.2352,-0.2352
0.675,0.67,0.68,0.5978,0.2984,-0.2984
0.685,0.68,0.69,0.6945,0.3738,-0.3738
0.695,0.69,0.7,0.8079,0.4616,-0.4616
0.705,0.7,0.71,0.9381,0.5611,-0.5611
0.715,0.71,0.72,1.082,0.6694,-0.6694
0.725,0.72,0.73,1.233,0.7806,-0.7806
0.735,0.73,0.74,1.3791,0.8851,-0.8851
0.745,0.74,0.75,1.5042,0.9704,-0.9704
0.755,0.75,0.76,1.5912,1.0241,-1.0241
0.765,0.76,0.77,1.628,1.0383,-1.0383
0.775,0.77,0.78,1.6116,1.0122,-1.0122
0.785,0.78,0.79,1.5493,0.9528,-0.9528
0.795,0.79,0.8,1.4545,0.8713,-0.8713
0.805,0.8,0.81,1.342,0.7793,-0.7793
0.815,0.81,0.82,1.2242,0.686,-0.686
0.825,0.82,0.83,1.1096,0.5975,-0.5975
0.835,0.83,0.84,1.0032,0.5172,-0.5172
0.845,0.84,0.85,0.9071,0.4463,-0.4463
0.855,0.85,0.86,0.8219,0.3849,-0.3849
0.865,0.86,0.87,0.7471,0.3326,-0.3326
0.875,0.87,0.88,0.6819,0.2884,-0.2884
0.885,0.88,0.89,0.6251,0.2514,-0.2514
0.895,0.89,0.9,0.5758,0.2209,-0.2209
0.905,0.9,0.91,0.5328,0.196,-0.196
0.915,0.91,0.92,0.4954,0.1761,-0.1761
0.925,0.92,0.93,0.4626,0.1605,-0.1605
0.935,0.93,0.94,0.4339,0.1486,-0.1486
0.945,0.94,0.95,0.4086,0.1399,-0.1399
0.955,0.95,0.96,0.3863,0.1338,-0.1338
0.965,0.96,0.97,0.3665,0.1298,-0.1298
0.975,0.97,0.98,0.3489,0.1275,-0.1275
0.985,0.98,0.99,0.3331,0.1265,-0.1265
0.995,0.99,1.0,0.3189,0.1265,-0.1265
1.005,1.0,1.01,0.3061,0.1271,-0.1271
1.0150000000000001,1.01,1.02,0.2944,0.1282,-0.1282
1.025,1.02,1.03,0.2836,0.1296,-0.1296
1.0350000000000001,1.03,1.04,0.2736,0.1312,-0.1312
1.045,1.04,1.05,0.2643,0.1329,-0.1329
1.0550000000000002,1.05,1.06,0.2555,0.1346,-0.1346
1.065,1.06,1.07,0.2472,0.1363,-0.1363
1.0750000000000002,1.07,1.08,0.2392,0.138,-0.138
1.085,1.08,1.09,0.2314,0.1395,-0.1395
1.0950000000000002,1.09,1.1,0.2238,0.141,-0.141
1.105,1.1,1.11,0.2163,0.1423,-0.1423
1.1150000000000002,1.11,1.12,0.2089,0.1434,-0.1434
1.125,1.12,1.13,0.2015,0.1444,-0.1444
1.1349999999999998,1.13,1.14,0.1941,0.1452,-0.1452
1.145,1.14,1.15,0.1867,0.1458,-0.1458
1.1549999999999998,1.15,1.16,0.1792,0.1463,-0.1463
1.165,1.16,1.17,0.1718,0.1465,-0.1465
1.1749999999999998,1.17,1.18,0.1643,0.1466,-0.1466
1.185,1.18,1.19,0.1568,0.1464,-0.1464
