#: table_doi: 10.17182/hepdata.74824.v1/t124
#: name: Table 124
#: description: D wave cross section for -T.

#: data_file: Table124.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
1.125,1.12,1.13,0.5641,0.2454,-0.2454
1.1349999999999998,1.13,1.14,0.5773,0.2443,-0.2443
1.145,1.14,1.15,0.5924,0.2427,-0.2427
1.1549999999999998,1.15,1.16,0.6098,0.241,-0.241
1.165,1.16,1.17,0.6299,0.2392,-0.2392
1.1749999999999998,1.17,1.18,0.6527,0.2376,-0.2376
1.185,1.18,1.19,0.6786,0.2363,-0.2363
1.1949999999999998,1.19,1.2,0.7073,0.2357,-0.2357
1.205,1.2,1.21,0.7385,0.236,-0.236
1.2149999999999999,1.21,1.22,0.7711,0.2372,-0.2372
1.225,1.22,1.23,0.8034,0.2398,-0.2398
1.2349999999999999,1.23,1.24,0.8329,0.244,-0.244
1.245,1.24,1.25,0.8564,0.2502,-0.2502
1.255,1.25,1.26,0.8704,0.2587,-0.2587
1.2650000000000001,1.26,1.27,0.8718,0.2696,-0.2696
1.275,1.27,1.28,0.8589,0.2822,-0.2822
1.2850000000000001,1.28,1.29,0.8316,0.2957,-0.2957
1.295,1.29,1.3,0.792,0.3085,-0.3085
1.3050000000000002,1.3,1.31,0.7437,0.3195,-0.3195
1.315,1.31,1.32,0.691,0.3279,-0.3279
1.3250000000000002,1.32,1.33,0.638,0.3336,-0.3336
1.335,1.33,1.34,0.5882,0.337,-0.337
1.3450000000000002,1.34,1.35,0.5441,0.3389,-0.3389
1.355,1.35,1.36,0.5077,0.3405,-0.3405
1.3650000000000002,1.36,1.37,0.48,0.343,-0.343
1.375,1.37,1.38,0.4618,0.3475,-0.3475
1.3849999999999998,1.38,1.39,0.4538,0.3551,-0.3551
1.395,1.39,1.4,0.4564,0.3669,-0.3669

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1279,0.0593,-0.0593
0.415,0.41,0.42,0.1265,0.0579,-0.0579
0.425,0.42,0.43,0.1258,0.0567,-0.0567
0.435,0.43,0.44,0.1258,0.0558,-0.0558
0.445,0.44,0.45,0.1264,0.055,-0.055
0.455,0.45,0.46,0.1275,0.0545,-0.0545
0.46499999999999997,0.46,0.47,0.1291,0.0542,-0.0542
0.475,0.47,0.48,0.1311,0.0541,-0.0541
0.485,0.48,0.49,0.1336,0.0542,-0.0542
0.495,0.49,0.5,0.1363,0.0545,-0.0545
0.505,0.5,0.51,0.1394,0.055,-0.055
0.515,0.51,0.52,0.1427,0.0557,-0.0557
0.525,0.52,0.53,0.1463,0.0564,-0.0564
0.535,0.53,0.54,0.1501,0.0573,-0.0573
0.545,0.54,0.55,0.1541,0.0583,-0.0583
0.555,0.55,0.56,0.1583,0.0594,-0.0594
0.565,0.56,0.57,0.1625,0.0606,-0.0606
0.575,0.57,0.58,0.167,0.0618,-0.0618
0.585,0.58,0.59,0.1715,0.063,-0.063
0.595,0.59,0.6,0.1761,0.0643,-0.0643
0.605,0.6,0.61,0.1808,0.0657,-0.0657
0.615,0.61,0.62,0.1855,0.0671,-0.0671
0.625,0.62,0.63,0.1903,0.0685,-0.0685
0.635,0.63,0.64,0.1951,0.07,-0.07
0.645,0.64,0.65,0.1999,0.0716,-0.0716
0.655,0.65,0.66,0.2048,0.0732,-0.0732
0.665,0.66,0.67,0.2096,0.0749,-0.0749
0.675,0.67,0.68,0.2145,0.0766,-0.0766
0.685,0.68,0.69,0.2193,0.0784,-0.0784
0.695,0.69,0.7,0.2241,0.0803,-0.0803
0.705,0.7,0.71,0.2289,0.0822,-0.0822
0.715,0.71,0.72,0.2336,0.0843,-0.0843
0.725,0.72,0.73,0.2383,0.0864,-0.0864
0.735,0.73,0.74,0.243,0.0885,-0.0885
0.745,0.74,0.75,0.2476,0.0908,-0.0908
0.755,0.75,0.76,0.2521,0.0931,-0.0931
0.765,0.76,0.77,0.2566,0.0954,-0.0954
0.775,0.77,0.78,0.261,0.0978,-0.0978
0.785,0.78,0.79,0.2653,0.1002,-0.1002
0.795,0.79,0.8,0.2695,0.1026,-0.1026
0.805,0.8,0.81,0.2737,0.1051,-0.1051
0.815,0.81,0.82,0.2777,0.1076,-0.1076
0.825,0.82,0.83,0.2816,0.11,-0.11
0.835,0.83,0.84,0.2854,0.1125,-0.1125
0.845,0.84,0.85,0.2891,0.1149,-0.1149
0.855,0.85,0.86,0.2926,0.1173,-0.1173
0.865,0.86,0.87,0.296,0.1197,-0.1197
0.875,0.87,0.88,0.2992,0.122,-0.122
0.885,0.88,0.89,0.3022,0.1244,-0.1244
0.895,0.89,0.9,0.3051,0.1266,-0.1266
0.905,0.9,0.91,0.3077,0.1289,-0.1289
0.915,0.91,0.92,0.3101,0.1312,-0.1312
0.925,0.92,0.93,0.3123,0.1334,-0.1334
0.935,0.93,0.94,0.3143,0.1357,-0.1357
