#: table_doi: 10.17182/hepdata.74824.v1/t127
#: name: Table 127
#: description: Dm wave cross section for -T.

#: data_file: Table127.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
1.0350000000000001,1.03,1.04,0.5976,0.2513,-0.2513
1.045,1.04,1.05,0.5972,0.2551,-0.2551
1.0550000000000002,1.05,1.06,0.5949,0.2586,-0.2586
1.065,1.06,1.07,0.5906,0.2616,-0.2616
1.0750000000000002,1.07,1.08,0.5841,0.2642,-0.2642
1.085,1.08,1.09,0.5755,0.2662,-0.2662
1.0950000000000002,1.09,1.1,0.5646,0.2677,-0.2677
1.105,1.1,1.11,0.5515,0.2685,-0.2685
1.1150000000000002,1.11,1.12,0.5362,0.2685,-0.2685
1.125,1.12,1.13,0.5188,0.2677,-0.2677
1.1349999999999998,1.13,1.14,0.4995,0.2659,-0.2659
1.145,1.14,1.15,0.4784,0.263,-0.263
1.1549999999999998,1.15,1.16,0.456,0.2589,-0.2589
1.165,1.16,1.17,0.4327,0.2534,-0.2534
1.1749999999999998,1.17,1.18,0.4092,0.2464,-0.2464
1.185,1.18,1.19,0.3863,0.2378,-0.2378
1.1949999999999998,1.19,1.2,0.3649,0.2277,-0.2277
1.205,1.2,1.21,0.3462,0.216,-0.216
1.2149999999999999,1.21,1.22,0.3312,0.2033,-0.2033
1.225,1.22,1.23,0.3212,0.1904,-0.1904
1.2349999999999999,1.23,1.24,0.3166,0.179,-0.179
1.245,1.24,1.25,0.3174,0.1712,-0.1712
1.255,1.25,1.26,0.3226,0.1696,-0.1696
1.2650000000000001,1.26,1.27,0.3301,0.1755,-0.1755
1.275,1.27,1.28,0.337,0.1881,-0.1881
1.2850000000000001,1.28,1.29,0.3403,0.2046,-0.2046
1.295,1.29,1.3,0.3377,0.2216,-0.2216
1.3050000000000002,1.3,1.31,0.3279,0.2362,-0.2362
1.315,1.31,1.32,0.311,0.2468,-0.2468
1.3250000000000002,1.32,1.33,0.2884,0.2524,-0.2524
1.335,1.33,1.34,0.2622,0.2534,-0.2534
1.3450000000000002,1.34,1.35,0.2351,0.2505,-0.2505
1.355,1.35,1.36,0.2097,0.2454,-0.2454
1.3650000000000002,1.36,1.37,0.1886,0.2405,-0.2405
1.375,1.37,1.38,0.1743,0.2389,-0.2389
1.3849999999999998,1.38,1.39,0.1693,0.2437,-0.2437
1.395,1.39,1.4,0.1758,0.2576,-0.2576

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2173,0.2488,-0.2488
0.415,0.41,0.42,0.186,0.2051,-0.2051
0.425,0.42,0.43,0.1593,0.1664,-0.1664
0.435,0.43,0.44,0.137,0.133,-0.133
0.445,0.44,0.45,0.1188,0.1056,-0.1056
0.455,0.45,0.46,0.1045,0.0847,-0.0847
0.46499999999999997,0.46,0.47,0.0939,0.0712,-0.0712
0.475,0.47,0.48,0.0867,0.0653,-0.0653
0.485,0.48,0.49,0.0826,0.0654,-0.0654
0.495,0.49,0.5,0.0814,0.069,-0.069
0.505,0.5,0.51,0.0829,0.0739,-0.0739
0.515,0.51,0.52,0.0868,0.079,-0.079
0.525,0.52,0.53,0.0928,0.0837,-0.0837
0.535,0.53,0.54,0.1008,0.0876,-0.0876
0.545,0.54,0.55,0.1105,0.0908,-0.0908
0.555,0.55,0.56,0.1217,0.0935,-0.0935
0.565,0.56,0.57,0.1342,0.0957,-0.0957
0.575,0.57,0.58,0.1478,0.098,-0.098
0.585,0.58,0.59,0.1622,0.1006,-0.1006
0.595,0.59,0.6,0.1775,0.1037,-0.1037
0.605,0.6,0.61,0.1932,0.1078,-0.1078
0.615,0.61,0.62,0.2094,0.1129,-0.1129
0.625,0.62,0.63,0.2258,0.1191,-0.1191
0.635,0.63,0.64,0.2423,0.1265,-0.1265
0.645,0.64,0.65,0.2587,0.1348,-0.1348
0.655,0.65,0.66,0.275,0.144,-0.144
0.665,0.66,0.67,0.2911,0.154,-0.154
0.675,0.67,0.68,0.3068,0.1644,-0.1644
0.685,0.68,0.69,0.3221,0.1752,-0.1752
0.695,0.69,0.7,0.3368,0.1861,-0.1861
0.705,0.7,0.71,0.351,0.197,-0.197
0.715,0.71,0.72,0.3646,0.2078,-0.2078
0.725,0.72,0.73,0.3775,0.2183,-0.2183
0.735,0.73,0.74,0.3897,0.2285,-0.2285
0.745,0.74,0.75,0.4012,0.2381,-0.2381
0.755,0.75,0.76,0.412,0.2473,-0.2473
0.765,0.76,0.77,0.422,0.2558,-0.2558
0.775,0.77,0.78,0.4314,0.2637,-0.2637
0.785,0.78,0.79,0.44,0.2709,-0.2709
0.795,0.79,0.8,0.448,0.2773,-0.2773
0.805,0.8,0.81,0.4552,0.2831,-0.2831
0.815,0.81,0.82,0.4619,0.2881,-0.2881
0.825,0.82,0.83,0.468,0.2924,-0.2924
0.835,0.83,0.84,0.4735,0.296,-0.296
0.845,0.84,0.85,0.4784,0.2989,-0.2989
0.855,0.85,0.86,0.4829,0.3012,-0.3012
0.865,0.86,0.87,0.487,0.3028,-0.3028
0.875,0.87,0.88,0.4907,0.3037,-0.3037
0.885,0.88,0.89,0.494,0.3042,-0.3042
0.895,0.89,0.9,0.497,0.304,-0.304
0.905,0.9,0.91,0.4997,0.3034,-0.3034
0.915,0.91,0.92,0.5021,0.3023,-0.3023
0.925,0.92,0.93,0.5044,0.3008,-0.3008
0.935,0.93,0.94,0.5064,0.2989,-0.2989
0.945,0.94,0.95,0.5082,0.2966,-0.2966
0.955,0.95,0.96,0.5098,0.2941,-0.2941
0.965,0.96,0.97,0.5112,0.2913,-0.2913
0.975,0.97,0.98,0.5125,0.2883,-0.2883
0.985,0.98,0.99,0.5135,0.2851,-0.2851
0.995,0.99,1.0,0.5143,0.2817,-0.2817
1.005,1.0,1.01,0.5148,0.2783,-0.2783
1.0150000000000001,1.01,1.02,0.515,0.2748,-0.2748
1.025,1.02,1.03,0.5149,0.2714,-0.2714
1.0350000000000001,1.03,1.04,0.5143,0.2679,-0.2679
1.045,1.04,1.05,0.5133,0.2646,-0.2646
1.0550000000000002,1.05,1.06,0.5117,0.2615,-0.2615
1.065,1.06,1.07,0.5095,0.2585,-0.2585
1.0750000000000002,1.07,1.08,0.5065,0.2558,-0.2558
1.085,1.08,1.09,0.5027,0.2534,-0.2534
1.0950000000000002,1.09,1.1,0.498,0.2512,-0.2512
1.105,1.1,1.11,0.4923,0.2494,-0.2494
1.1150000000000002,1.11,1.12,0.4855,0.2478,-0.2478
1.125,1.12,1.13,0.4774,0.2463,-0.2463
1.1349999999999998,1.13,1.14,0.4681,0.2449,-0.2449
1.145,1.14,1.15,0.4575,0.2434,-0.2434
1.1549999999999998,1.15,1.16,0.4456,0.2416,-0.2416
1.165,1.16,1.17,0.4323,0.2391,-0.2391
1.1749999999999998,1.17,1.18,0.4179,0.2358,-0.2358
1.185,1.18,1.19,0.4026,0.2313,-0.2313
1.1949999999999998,1.19,1.2,0.3867,0.2257,-0.2257
1.205,1.2,1.21,0.3707,0.219,-0.219
1.2149999999999999,1.21,1.22,0.3555,0.2117,-0.2117
1.225,1.22,1.23,0.3418,0.2052,-0.2052
1.2349999999999999,1.23,1.24,0.3305,0.2011,-0.2011
1.245,1.24,1.25,0.3227,0.2014,-0.2014
1.255,1.25,1.26,0.3188,0.2075,-0.2075
1.2650000000000001,1.26,1.27,0.3189,0.2189,-0.2189
1.275,1.27,1.28,0.3223,0.2341,-0.2341
1.2850000000000001,1.28,1.29,0.3278,0.2509,-0.2509
1.295,1.29,1.3,0.3338,0.2673,-0.2673
1.3050000000000002,1.3,1.31,0.3388,0.2824,-0.2824
1.315,1.31,1.32,0.3417,0.296,-0.296
1.3250000000000002,1.32,1.33,0.342,0.3082,-0.3082
1.335,1.33,1.34,0.3396,0.3192,-0.3192
1.3450000000000002,1.34,1.35,0.335,0.3292,-0.3292
1.355,1.35,1.36,0.329,0.3383,-0.3383
1.3650000000000002,1.36,1.37,0.3226,0.3466,-0.3466
1.375,1.37,1.38,0.3167,0.3543,-0.3543
1.3849999999999998,1.38,1.39,0.3126,0.362,-0.362
1.395,1.39,1.4,0.3114,0.3706,-0.3706

