#: table_doi: 10.17182/hepdata.74824.v1/t115
#: name: Table 115
#: description: Pp wave cross section for -T.

#: data_file: Table115.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
1.3050000000000002,1.3,1.31,0.2254,0.2091,-0.2091
1.315,1.31,1.32,0.2264,0.2124,-0.2124
1.3250000000000002,1.32,1.33,0.229,0.2169,-0.2169
1.335,1.33,1.34,0.2335,0.2228,-0.2228
1.3450000000000002,1.34,1.35,0.2403,0.2304,-0.2304
1.355,1.35,1.36,0.25,0.2405,-0.2405
1.3650000000000002,1.36,1.37,0.2631,0.2537,-0.2537
1.375,1.37,1.38,0.2803,0.2712,-0.2712
1.3849999999999998,1.38,1.39,0.3023,0.2942,-0.2942
1.395,1.39,1.4,0.3301,0.3242,-0.3242

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1601,0.0974,-0.0974
0.415,0.41,0.42,0.1725,0.1078,-0.1078
0.425,0.42,0.43,0.1856,0.1194,-0.1194
0.435,0.43,0.44,0.1997,0.1325,-0.1325
0.445,0.44,0.45,0.2153,0.147,-0.147
0.455,0.45,0.46,0.2328,0.163,-0.163
0.46499999999999997,0.46,0.47,0.2528,0.1805,-0.1805
0.475,0.47,0.48,0.2759,0.1997,-0.1997
0.485,0.48,0.49,0.303,0.2204,-0.2204
0.495,0.49,0.5,0.3349,0.2427,-0.2427
0.505,0.5,0.51,0.3726,0.2665,-0.2665
0.515,0.51,0.52,0.4175,0.2919,-0.2919
0.525,0.52,0.53,0.4711,0.3186,-0.3186
0.535,0.53,0.54,0.535,0.3466,-0.3466
0.545,0.54,0.55,0.6114,0.3758,-0.3758
0.555,0.55,0.56,0.7028,0.4061,-0.4061
0.565,0.56,0.57,0.8122,0.4372,-0.4372
0.575,0.57,0.58,0.9431,0.4691,-0.4691
0.585,0.58,0.59,1.1001,0.5016,-0.5016
0.595,0.59,0.6,1.2884,0.5347,-0.5347
0.605,0.6,0.61,1.5146,0.5684,-0.5684
0.615,0.61,0.62,1.7865,0.6029,-0.6029
0.625,0.62,0.63,2.1138,0.6389,-0.6389
0.635,0.63,0.64,2.5081,0.6779,-0.6779
0.645,0.64,0.65,2.9834,0.7226,-0.7226
0.655,0.65,0.66,3.5557,0.7774,-0.7774
0.665,0.66,0.67,4.2436,0.8497,-0.8497
0.675,0.67,0.68,5.0661,0.9502,-0.9502
0.685,0.68,0.69,6.0408,1.0923,-1.0923
0.695,0.69,0.7,7.1786,1.2905,-1.2905
0.705,0.7,0.71,8.4752,1.557,-1.557
0.715,0.71,0.72,9.8988,1.8975,-1.8975
0.725,0.72,0.73,11.3763,2.3058,-2.3058
0.735,0.73,0.74,12.7849,2.7587,-2.7587
0.745,0.74,0.75,13.9613,3.2149,-3.2149
0.755,0.75,0.76,14.7384,3.6201,-3.6201
0.765,0.76,0.77,15.0001,3.9221,-3.9221
0.775,0.77,0.78,14.7272,4.0872,-4.0872
0.785,0.78,0.79,13.9999,4.1107,-4.1107
0.795,0.79,0.8,12.96,4.0125,-4.0125
0.805,0.8,0.81,11.7584,3.8259,-3.8259
0.815,0.81,0.82,10.5187,3.5854,-3.5854
0.825,0.82,0.83,9.3243,3.3194,-3.3194
0.835,0.83,0.84,8.222,3.048,-3.048
0.845,0.84,0.85,7.2318,2.7839,-2.7839
0.855,0.85,0.86,6.3568,2.534,-2.534
0.865,0.86,0.87,5.5912,2.3018,-2.3018
0.875,0.87,0.88,4.9246,2.088,-2.088
0.885,0.88,0.89,4.3456,1.8925,-1.8925
0.895,0.89,0.9,3.8428,1.7141,-1.7141
0.905,0.9,0.91,3.4058,1.5513,-1.5513
0.915,0.91,0.92,3.0254,1.4029,-1.4029
0.925,0.92,0.93,2.6936,1.2674,-1.2674
0.935,0.93,0.94,2.4037,1.1434,-1.1434
0.945,0.94,0.95,2.1497,1.03,-1.03
0.955,0.95,0.96,1.9269,0.926,-0.926
0.965,0.96,0.97,1.7311,0.8306,-0.8306
0.975,0.97,0.98,1.5588,0.7431,-0.7431
0.985,0.98,0.99,1.4069,0.6629,-0.6629
0.995,0.99,1.0,1.2728,0.5896,-0.5896
1.005,1.0,1.01,1.1545,0.5228,-0.5228
1.0150000000000001,1.01,1.02,1.0498,0.4622,-0.4622
1.025,1.02,1.03,0.9573,0.4078,-0.4078
1.0350000000000001,1.03,1.04,0.8754,0.3595,-0.3595
1.045,1.04,1.05,0.8029,0.3174,-0.3174
1.0550000000000002,1.05,1.06,0.7387,0.2816,-0.2816
1.065,1.06,1.07,0.6817,0.2525,-0.2525
1.0750000000000002,1.07,1.08,0.631,0.2301,-0.2301
1.085,1.08,1.09,0.586,0.2144,-0.2144
1.0950000000000002,1.09,1.1,0.5458,0.2048,-0.2048
1.105,1.1,1.11,0.5098,0.2005,-0.2005
1.1150000000000002,1.11,1.12,0.4774,0.2003,-0.2003
1.125,1.12,1.13,0.4482,0.203,-0.203
1.1349999999999998,1.13,1.14,0.4216,0.2073,-0.2073
1.145,1.14,1.15,0.3973,0.2123,-0.2123
1.1549999999999998,1.15,1.16,0.3748,0.2173,-0.2173
1.165,1.16,1.17,0.3538,0.2218,-0.2218
1.1749999999999998,1.17,1.18,0.3342,0.2254,-0.2254
1.185,1.18,1.19,0.3156,0.2279,-0.2279
1.1949999999999998,1.19,1.2,0.2978,0.2293,-0.2293
1.205,1.2,1.21,0.2808,0.2295,-0.2295
1.2149999999999999,1.21,1.22,0.2643,0.2287,-0.2287
1.225,1.22,1.23,0.2485,0.2268,-0.2268
1.2349999999999999,1.23,1.24,0.2333,0.2242,-0.2242
1.245,1.24,1.25,0.2187,0.2211,-0.2211
1.255,1.25,1.26,0.205,0.2176,-0.2176
1.2650000000000001,1.26,1.27,0.1922,0.2142,-0.2142
1.275,1.27,1.28,0.1807,0.211,-0.211
1.2850000000000001,1.28,1.29,0.1707,0.2085,-0.2085
1.295,1.29,1.3,0.1628,0.2069,-0.2069
1.3050000000000002,1.3,1.31,0.1573,0.2069,-0.2069
1.315,1.31,1.32,0.1548,0.2088,-0.2088
1.3250000000000002,1.32,1.33,0.156,0.2134,-0.2134
1.335,1.33,1.34,0.1616,0.2215,-0.2215
1.3450000000000002,1.34,1.35,0.1725,0.234,-0.234
1.355,1.35,1.36,0.1897,0.2524,-0.2524
1.3650000000000002,1.36,1.37,0.2142,0.2781,-0.2781
1.375,1.37,1.38,0.2472,0.3127,-0.3127
1.3849999999999998,1.38,1.39,0.2901,0.3579,-0.3579
1.395,1.39,1.4,0.3442,0.4153,-0.4153

