#: table_doi: 10.17182/hepdata.74824.v1/t108
#: name: Table 108
#: description: Pm wave cross section for -T.

#: data_file: Table108.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.915,0.91,0.92,0.1938,0.1008,-0.1008
0.925,0.92,0.93,0.185,0.1003,-0.1003
0.935,0.93,0.94,0.1782,0.1004,-0.1004
0.945,0.94,0.95,0.1733,0.1009,-0.1009
0.955,0.95,0.96,0.1699,0.1019,-0.1019
0.965,0.96,0.97,0.1678,0.1031,-0.1031
0.975,0.97,0.98,0.1668,0.1047,-0.1047
0.985,0.98,0.99,0.1669,0.1065,-0.1065
0.995,0.99,1.0,0.1678,0.1086,-0.1086
1.005,1.0,1.01,0.1694,0.1108,-0.1108
1.0150000000000001,1.01,1.02,0.1716,0.1132,-0.1132
1.025,1.02,1.03,0.1744,0.1156,-0.1156
1.0350000000000001,1.03,1.04,0.1776,0.1182,-0.1182
1.045,1.04,1.05,0.1812,0.1209,-0.1209
1.0550000000000002,1.05,1.06,0.1851,0.1235,-0.1235
1.065,1.06,1.07,0.1892,0.1262,-0.1262
1.0750000000000002,1.07,1.08,0.1935,0.1289,-0.1289
1.085,1.08,1.09,0.1978,0.1316,-0.1316
1.0950000000000002,1.09,1.1,0.2023,0.1342,-0.1342
1.105,1.1,1.11,0.2067,0.1368,-0.1368
1.1150000000000002,1.11,1.12,0.2112,0.1394,-0.1394
1.125,1.12,1.13,0.2155,0.1418,-0.1418
1.1349999999999998,1.13,1.14,0.2197,0.1442,-0.1442
1.145,1.14,1.15,0.2238,0.1465,-0.1465
1.1549999999999998,1.15,1.16,0.2277,0.1488,-0.1488
1.165,1.16,1.17,0.2313,0.151,-0.151
1.1749999999999998,1.17,1.18,0.2348,0.1532,-0.1532
1.185,1.18,1.19,0.2379,0.1553,-0.1553
1.1949999999999998,1.19,1.2,0.2408,0.1575,-0.1575
1.205,1.2,1.21,0.2434,0.1597,-0.1597
1.2149999999999999,1.21,1.22,0.2456,0.1619,-0.1619
1.225,1.22,1.23,0.2476,0.1644,-0.1644
1.2349999999999999,1.23,1.24,0.2493,0.167,-0.167
1.245,1.24,1.25,0.2506,0.1699,-0.1699
1.255,1.25,1.26,0.2517,0.1731,-0.1731
1.2650000000000001,1.26,1.27,0.2526,0.1767,-0.1767
