#: table_doi: 10.17182/hepdata.74824.v1/t157
#: name: Table 157
#: description: F0 wave cross section for -T.

#: data_file: Table157.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=f0wave) [MUB/GEV**3]",error +,error -
1.1549999999999998,1.15,1.16,0.3088,0.0948,-0.0948
1.165,1.16,1.17,0.3088,0.0956,-0.0956
1.1749999999999998,1.17,1.18,0.3098,0.0979,-0.0979
1.185,1.18,1.19,0.3118,0.1017,-0.1017
1.1949999999999998,1.19,1.2,0.315,0.107,-0.107
1.205,1.2,1.21,0.3193,0.1135,-0.1135
1.2149999999999999,1.21,1.22,0.3249,0.1212,-0.1212
1.225,1.22,1.23,0.3319,0.1299,-0.1299
1.2349999999999999,1.23,1.24,0.3403,0.1396,-0.1396
1.245,1.24,1.25,0.3501,0.15,-0.15
1.255,1.25,1.26,0.3616,0.1611,-0.1611
1.2650000000000001,1.26,1.27,0.3747,0.1729,-0.1729
1.275,1.27,1.28,0.3895,0.1853,-0.1853
1.2850000000000001,1.28,1.29,0.4061,0.1982,-0.1982
1.295,1.29,1.3,0.4247,0.2117,-0.2117
1.3050000000000002,1.3,1.31,0.4452,0.2258,-0.2258
1.315,1.31,1.32,0.4678,0.2404,-0.2404
1.3250000000000002,1.32,1.33,0.4926,0.2556,-0.2556
1.335,1.33,1.34,0.5197,0.2713,-0.2713
1.3450000000000002,1.34,1.35,0.549,0.2877,-0.2877
1.355,1.35,1.36,0.5809,0.3046,-0.3046
1.3650000000000002,1.36,1.37,0.6152,0.3222,-0.3222
1.375,1.37,1.38,0.6522,0.3405,-0.3405
1.3849999999999998,1.38,1.39,0.692,0.3595,-0.3595
1.395,1.39,1.4,0.7346,0.3793,-0.3793

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=f0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.12,0.0702,-0.0702
0.415,0.41,0.42,0.1384,0.0807,-0.0807
0.425,0.42,0.43,0.1573,0.0915,-0.0915
0.435,0.43,0.44,0.1768,0.1025,-0.1025
0.445,0.44,0.45,0.1966,0.1136,-0.1136
0.455,0.45,0.46,0.2166,0.1247,-0.1247
0.46499999999999997,0.46,0.47,0.2367,0.1358,-0.1358
0.475,0.47,0.48,0.2569,0.1468,-0.1468
0.485,0.48,0.49,0.2769,0.1577,-0.1577
0.495,0.49,0.5,0.2969,0.1684,-0.1684
0.505,0.5,0.51,0.3165,0.1788,-0.1788
0.515,0.51,0.52,0.3359,0.189,-0.189
0.525,0.52,0.53,0.3549,0.1988,-0.1988
0.535,0.53,0.54,0.3735,0.2082,-0.2082
0.545,0.54,0.55,0.3916,0.2173,-0.2173
0.555,0.55,0.56,0.4092,0.226,-0.226
0.565,0.56,0.57,0.4263,0.2342,-0.2342
0.575,0.57,0.58,0.4427,0.242,-0.242
0.585,0.58,0.59,0.4586,0.2493,-0.2493
0.595,0.59,0.6,0.4738,0.2561,-0.2561
0.605,0.6,0.61,0.4883,0.2624,-0.2624
0.615,0.61,0.62,0.5022,0.2682,-0.2682
0.625,0.62,0.63,0.5153,0.2734,-0.2734
0.635,0.63,0.64,0.5277,0.2782,-0.2782
0.645,0.64,0.65,0.5394,0.2824,-0.2824
0.655,0.65,0.66,0.5504,0.2861,-0.2861
0.665,0.66,0.67,0.5606,0.2892,-0.2892
0.675,0.67,0.68,0.57,0.2918,-0.2918
0.685,0.68,0.69,0.5787,0.2939,-0.2939
0.695,0.69,0.7,0.5866,0.2954,-0.2954
0.705,0.7,0.71,0.5938,0.2964,-0.2964
0.715,0.71,0.72,0.6002,0.2969,-0.2969
0.725,0.72,0.73,0.6059,0.2969,-0.2969
0.735,0.73,0.74,0.6108,0.2964,-0.2964
0.745,0.74,0.75,0.615,0.2954,-0.2954
0.755,0.75,0.76,0.6184,0.2939,-0.2939
0.765,0.76,0.77,0.6211,0.2919,-0.2919
0.775,0.77,0.78,0.6231,0.2895,-0.2895
0.785,0.78,0.79,0.6244,0.2866,-0.2866
0.795,0.79,0.8,0.625,0.2832,-0.2832
0.805,0.8,0.81,0.6249,0.2795,-0.2795
0.815,0.81,0.82,0.6242,0.2754,-0.2754
0.825,0.82,0.83,0.6228,0.2708,-0.2708
0.835,0.83,0.84,0.6208,0.2659,-0.2659
0.845,0.84,0.85,0.6182,0.2607,-0.2607
0.855,0.85,0.86,0.615,0.2552,-0.2552
0.865,0.86,0.87,0.6112,0.2493,-0.2493
0.875,0.87,0.88,0.6069,0.2432,-0.2432
0.885,0.88,0.89,0.6021,0.2369,-0.2369
0.895,0.89,0.9,0.5967,0.2303,-0.2303
0.905,0.9,0.91,0.5909,0.2235,-0.2235
0.915,0.91,0.92,0.5847,0.2166,-0.2166
0.925,0.92,0.93,0.578,0.2096,-0.2096
0.935,0.93,0.94,0.5709,0.2025,-0.2025
0.945,0.94,0.95,0.5635,0.1953,-0.1953
0.955,0.95,0.96,0.5557,0.1882,-0.1882
0.965,0.96,0.97,0.5476,0.181,-0.181
0.975,0.97,0.98,0.5392,0.174,-0.174
0.985,0.98,0.99,0.5306,0.1671,-0.1671
0.995,0.99,1.0,0.5219,0.1603,-0.1603
1.005,1.0,1.01,0.5129,0.1538,-0.1538
1.0150000000000001,1.01,1.02,0.5038,0.1476,-0.1476
1.025,1.02,1.03,0.4946,0.1417,-0.1417
1.0350000000000001,1.03,1.04,0.4854,0.1362,-0.1362
1.045,1.04,1.05,0.4761,0.1311,-0.1311
1.0550000000000002,1.05,1.06,0.4669,0.1265,-0.1265
1.065,1.06,1.07,0.4578,0.1224,-0.1224
1.0750000000000002,1.07,1.08,0.4487,0.1189,-0.1189
