#: table_doi: 10.17182/hepdata.74824.v1/t98
#: name: Table 98
#: description: P wave cross section for -T.

#: data_file: Table98.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pwave) [MUB/GEV**3]",error +,error -
0.835,0.83,0.84,7.7145,1.223,-1.223
0.845,0.84,0.85,6.8733,1.1323,-1.1323
0.855,0.85,0.86,6.1383,1.0546,-1.0546
0.865,0.86,0.87,5.502,0.9887,-0.9887
0.875,0.87,0.88,4.9542,0.9327,-0.9327
0.885,0.88,0.89,4.4837,0.8851,-0.8851
0.895,0.89,0.9,4.0798,0.8443,-0.8443
0.905,0.9,0.91,3.7329,0.8091,-0.8091
0.915,0.91,0.92,3.4347,0.7783,-0.7783
0.925,0.92,0.93,3.1779,0.7512,-0.7512
0.935,0.93,0.94,2.9566,0.7269,-0.7269
0.945,0.94,0.95,2.7655,0.705,-0.705
0.955,0.95,0.96,2.6002,0.685,-0.685
0.965,0.96,0.97,2.4572,0.6666,-0.6666
0.975,0.97,0.98,2.3332,0.6496,-0.6496
0.985,0.98,0.99,2.2258,0.6337,-0.6337
0.995,0.99,1.0,2.1325,0.6189,-0.6189
1.005,1.0,1.01,2.0515,0.605,-0.605
1.0150000000000001,1.01,1.02,1.981,0.592,-0.592
1.025,1.02,1.03,1.9197,0.5799,-0.5799
1.0350000000000001,1.03,1.04,1.8662,0.5687,-0.5687
1.045,1.04,1.05,1.8195,0.5584,-0.5584
1.0550000000000002,1.05,1.06,1.7785,0.5489,-0.5489
1.065,1.06,1.07,1.7424,0.5404,-0.5404
1.0750000000000002,1.07,1.08,1.7104,0.5328,-0.5328
1.085,1.08,1.09,1.6818,0.5262,-0.5262
1.0950000000000002,1.09,1.1,1.6559,0.5206,-0.5206
1.105,1.1,1.11,1.6323,0.516,-0.516
1.1150000000000002,1.11,1.12,1.6103,0.5124,-0.5124
1.125,1.12,1.13,1.5897,0.5097,-0.5097
1.1349999999999998,1.13,1.14,1.5699,0.5079,-0.5079
1.145,1.14,1.15,1.5506,0.507,-0.507
1.1549999999999998,1.15,1.16,1.5315,0.5069,-0.5069
1.165,1.16,1.17,1.5123,0.5076,-0.5076
1.1749999999999998,1.17,1.18,1.4929,0.509,-0.509
1.185,1.18,1.19,1.4731,0.511,-0.511
1.1949999999999998,1.19,1.2,1.4527,0.5134,-0.5134
1.205,1.2,1.21,1.4317,0.5162,-0.5162
1.2149999999999999,1.21,1.22,1.41,0.5194,-0.5194
1.225,1.22,1.23,1.3877,0.5226,-0.5226
1.2349999999999999,1.23,1.24,1.3648,0.526,-0.526
1.245,1.24,1.25,1.3415,0.5294,-0.5294
1.255,1.25,1.26,1.318,0.5326,-0.5326
1.2650000000000001,1.26,1.27,1.2945,0.5356,-0.5356
1.275,1.27,1.28,1.2714,0.5383,-0.5383
1.2850000000000001,1.28,1.29,1.2491,0.5407,-0.5407
1.295,1.29,1.3,1.228,0.5427,-0.5427
1.3050000000000002,1.3,1.31,1.2088,0.5444,-0.5444
1.315,1.31,1.32,1.192,0.5458,-0.5458
1.3250000000000002,1.32,1.33,1.1785,0.5473,-0.5473
1.335,1.33,1.34,1.169,0.549,-0.549
1.3450000000000002,1.34,1.35,1.1646,0.5516,-0.5516
1.355,1.35,1.36,1.1662,0.5558,-0.5558
1.3650000000000002,1.36,1.37,1.1751,0.5625,-0.5625
1.375,1.37,1.38,1.1925,0.5733,-0.5733
1.3849999999999998,1.38,1.39,1.2198,0.5898,-0.5898
1.395,1.39,1.4,1.2587,0.6142,-0.6142

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2719,0.1514,-0.1514
0.415,0.41,0.42,0.2923,0.1593,-0.1593
0.425,0.42,0.43,0.3133,0.1667,-0.1667
0.435,0.43,0.44,0.3352,0.1735,-0.1735
0.445,0.44,0.45,0.3584,0.1797,-0.1797
0.455,0.45,0.46,0.3833,0.1856,-0.1856
0.46499999999999997,0.46,0.47,0.4105,0.1911,-0.1911
0.475,0.47,0.48,0.4403,0.1964,-0.1964
0.485,0.48,0.49,0.4736,0.2016,-0.2016
0.495,0.49,0.5,0.5111,0.2068,-0.2068
0.505,0.5,0.51,0.5537,0.2121,-0.2121
0.515,0.51,0.52,0.6024,0.2179,-0.2179
0.525,0.52,0.53,0.6585,0.2241,-0.2241
0.535,0.53,0.54,0.7235,0.2312,-0.2312
0.545,0.54,0.55,0.7992,0.2393,-0.2393
0.555,0.55,0.56,0.8876,0.2488,-0.2488
0.565,0.56,0.57,0.9912,0.2601,-0.2601
0.575,0.57,0.58,1.1132,0.2737,-0.2737
0.585,0.58,0.59,1.2572,0.2901,-0.2901
0.595,0.59,0.6,1.4275,0.31,-0.31
0.605,0.6,0.61,1.6298,0.3341,-0.3341
0.615,0.61,0.62,1.8705,0.3636,-0.3636
0.625,0.62,0.63,2.1577,0.3995,-0.3995
0.635,0.63,0.64,2.5011,0.4432,-0.4432
0.645,0.64,0.65,2.9122,0.4963,-0.4963
0.655,0.65,0.66,3.4045,0.5608,-0.5608
0.665,0.66,0.67,3.9931,0.6386,-0.6386
0.675,0.67,0.68,4.6938,0.7318,-0.7318
0.685,0.68,0.69,5.521,0.8423,-0.8423
0.695,0.69,0.7,6.4833,0.9709,-0.9709
0.705,0.7,0.71,7.5767,1.1168,-1.1168
0.715,0.71,0.72,8.7739,1.2758,-1.2758
0.725,0.72,0.73,10.0132,1.4392,-1.4392
0.735,0.73,0.74,11.1917,1.5927,-1.5927
0.745,0.74,0.75,12.1732,1.7177,-1.7177
0.755,0.75,0.76,12.8187,1.7957,-1.7957
0.765,0.76,0.77,13.0329,1.8147,-1.8147
0.775,0.77,0.78,12.8013,1.7737,-1.7737
0.785,0.78,0.79,12.1924,1.6831,-1.6831
0.795,0.79,0.8,11.3252,1.5593,-1.5593
0.805,0.8,0.81,10.326,1.4198,-1.4198
0.815,0.81,0.82,9.2977,1.2782,-1.2782
0.825,0.82,0.83,8.3094,1.1437,-1.1437
0.835,0.83,0.84,7.3995,1.0211,-1.0211
0.845,0.84,0.85,6.5842,0.9123,-0.9123
0.855,0.85,0.86,5.8659,0.8174,-0.8174
0.865,0.86,0.87,5.239,0.7356,-0.7356
0.875,0.87,0.88,4.695,0.6658,-0.6658
0.885,0.88,0.89,4.224,0.6066,-0.6066
0.895,0.89,0.9,3.8164,0.5568,-0.5568
0.905,0.9,0.91,3.4633,0.5155,-0.5155
0.915,0.91,0.92,3.1571,0.4817,-0.4817
0.925,0.92,0.93,2.891,0.4548,-0.4548
0.935,0.93,0.94,2.6592,0.434,-0.434
0.945,0.94,0.95,2.4569,0.4189,-0.4189
0.955,0.95,0.96,2.2799,0.4088,-0.4088
0.965,0.96,0.97,2.1247,0.4034,-0.4034
