#: table_doi: 10.17182/hepdata.74824.v1/t147
#: name: Table 147
#: description: F wave cross section for -T.

#: data_file: Table147.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.945,0.94,0.95,0.5512,0.1645,-0.1645
0.955,0.95,0.96,0.55,0.1655,-0.1655
0.965,0.96,0.97,0.5486,0.1665,-0.1665
0.975,0.97,0.98,0.5472,0.1676,-0.1676
0.985,0.98,0.99,0.5458,0.1688,-0.1688
0.995,0.99,1.0,0.5443,0.17,-0.17
1.005,1.0,1.01,0.5429,0.1714,-0.1714
1.0150000000000001,1.01,1.02,0.5415,0.173,-0.173
1.025,1.02,1.03,0.5402,0.1747,-0.1747
1.0350000000000001,1.03,1.04,0.5391,0.1766,-0.1766
1.045,1.04,1.05,0.5381,0.1786,-0.1786
1.0550000000000002,1.05,1.06,0.5373,0.1809,-0.1809
1.065,1.06,1.07,0.5367,0.1835,-0.1835
1.0750000000000002,1.07,1.08,0.5364,0.1863,-0.1863
1.085,1.08,1.09,0.5364,0.1894,-0.1894
1.0950000000000002,1.09,1.1,0.5367,0.1928,-0.1928
1.105,1.1,1.11,0.5374,0.1966,-0.1966
1.1150000000000002,1.11,1.12,0.5386,0.2008,-0.2008
1.125,1.12,1.13,0.5402,0.2054,-0.2054
1.1349999999999998,1.13,1.14,0.5423,0.2104,-0.2104
1.145,1.14,1.15,0.545,0.2159,-0.2159
1.1549999999999998,1.15,1.16,0.5483,0.222,-0.222
1.165,1.16,1.17,0.5522,0.2285,-0.2285
1.1749999999999998,1.17,1.18,0.5568,0.2356,-0.2356
1.185,1.18,1.19,0.5622,0.2434,-0.2434
1.1949999999999998,1.19,1.2,0.5683,0.2517,-0.2517
1.205,1.2,1.21,0.5753,0.2607,-0.2607
