#: table_doi: 10.17182/hepdata.74824.v1/t128
#: name: Table 128
#: description: Dm wave cross section for -T.

#: data_file: Table128.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
1.3050000000000002,1.3,1.31,0.2075,0.1894,-0.1894
1.315,1.31,1.32,0.192,0.192,-0.192
1.3250000000000002,1.32,1.33,0.1855,0.1956,-0.1956
1.335,1.33,1.34,0.1872,0.2012,-0.2012
1.3450000000000002,1.34,1.35,0.1961,0.2099,-0.2099
1.355,1.35,1.36,0.2108,0.2223,-0.2223
1.3650000000000002,1.36,1.37,0.2303,0.2387,-0.2387
1.375,1.37,1.38,0.2534,0.2588,-0.2588
1.3849999999999998,1.38,1.39,0.2796,0.2822,-0.2822
1.395,1.39,1.4,0.3081,0.3083,-0.3083

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0463,0.0518,-0.0518
0.415,0.41,0.42,0.0433,0.0452,-0.0452
0.425,0.42,0.43,0.0407,0.0392,-0.0392
0.435,0.43,0.44,0.0385,0.0339,-0.0339
0.445,0.44,0.45,0.0368,0.0293,-0.0293
0.455,0.45,0.46,0.0355,0.0257,-0.0257
0.46499999999999997,0.46,0.47,0.0346,0.023,-0.023
0.475,0.47,0.48,0.0341,0.0212,-0.0212
0.485,0.48,0.49,0.034,0.0204,-0.0204
0.495,0.49,0.5,0.0343,0.0204,-0.0204
0.505,0.5,0.51,0.035,0.021,-0.021
0.515,0.51,0.52,0.0361,0.0218,-0.0218
0.525,0.52,0.53,0.0375,0.0229,-0.0229
0.535,0.53,0.54,0.0392,0.0241,-0.0241
0.545,0.54,0.55,0.0413,0.0252,-0.0252
0.555,0.55,0.56,0.0438,0.0264,-0.0264
0.565,0.56,0.57,0.0465,0.0275,-0.0275
0.575,0.57,0.58,0.0495,0.0286,-0.0286
0.585,0.58,0.59,0.0527,0.0296,-0.0296
0.595,0.59,0.6,0.0562,0.0307,-0.0307
0.605,0.6,0.61,0.06,0.0318,-0.0318
0.615,0.61,0.62,0.0639,0.033,-0.033
0.625,0.62,0.63,0.0681,0.0343,-0.0343
0.635,0.63,0.64,0.0724,0.0356,-0.0356
0.645,0.64,0.65,0.0768,0.0371,-0.0371
0.655,0.65,0.66,0.0814,0.0388,-0.0388
0.665,0.66,0.67,0.0861,0.0405,-0.0405
0.675,0.67,0.68,0.0909,0.0424,-0.0424
0.685,0.68,0.69,0.0957,0.0444,-0.0444
0.695,0.69,0.7,0.1006,0.0465,-0.0465
0.705,0.7,0.71,0.1055,0.0487,-0.0487
0.715,0.71,0.72,0.1105,0.051,-0.051
0.725,0.72,0.73,0.1154,0.0533,-0.0533
0.735,0.73,0.74,0.1203,0.0557,-0.0557
0.745,0.74,0.75,0.1251,0.058,-0.058
0.755,0.75,0.76,0.1298,0.0604,-0.0604
0.765,0.76,0.77,0.1345,0.0627,-0.0627
0.775,0.77,0.78,0.139,0.065,-0.065
0.785,0.78,0.79,0.1434,0.0672,-0.0672
0.795,0.79,0.8,0.1476,0.0694,-0.0694
0.805,0.8,0.81,0.1516,0.0715,-0.0715
0.815,0.81,0.82,0.1555,0.0734,-0.0734
