#: table_doi: 10.17182/hepdata.74824.v1/t96
#: name: Table 96
#: description: S wave cross section for -T.

#: data_file: Table96.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.475,0.47,0.48,0.1321,0.1013,-0.1013
0.485,0.48,0.49,0.1383,0.1035,-0.1035
0.495,0.49,0.5,0.1435,0.1052,-0.1052
0.505,0.5,0.51,0.1475,0.1066,-0.1066
0.515,0.51,0.52,0.1504,0.1076,-0.1076
0.525,0.52,0.53,0.1522,0.1083,-0.1083
0.535,0.53,0.54,0.1528,0.1087,-0.1087
0.545,0.54,0.55,0.1525,0.1089,-0.1089
0.555,0.55,0.56,0.1514,0.1088,-0.1088
0.565,0.56,0.57,0.1496,0.1085,-0.1085
0.575,0.57,0.58,0.1475,0.108,-0.108
0.585,0.58,0.59,0.1451,0.1074,-0.1074
0.595,0.59,0.6,0.1426,0.1068,-0.1068
0.605,0.6,0.61,0.1403,0.1061,-0.1061
0.615,0.61,0.62,0.1383,0.1056,-0.1056
0.625,0.62,0.63,0.1367,0.1052,-0.1052
0.635,0.63,0.64,0.1357,0.1051,-0.1051
0.645,0.64,0.65,0.1353,0.1052,-0.1052
0.655,0.65,0.66,0.1356,0.1057,-0.1057
0.665,0.66,0.67,0.1368,0.1065,-0.1065
0.675,0.67,0.68,0.1387,0.1076,-0.1076
0.685,0.68,0.69,0.1415,0.1091,-0.1091
0.695,0.69,0.7,0.1452,0.1109,-0.1109
0.705,0.7,0.71,0.1497,0.1129,-0.1129
0.715,0.71,0.72,0.155,0.1152,-0.1152
0.725,0.72,0.73,0.1612,0.1177,-0.1177
0.735,0.73,0.74,0.168,0.1203,-0.1203
0.745,0.74,0.75,0.1756,0.123,-0.123
