#: table_doi: 10.17182/hepdata.74824.v1/t119
#: name: Table 119
#: description: Pp wave cross section for -T.

#: data_file: Table119.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
1.105,1.1,1.11,0.1452,0.0837,-0.0837
1.1150000000000002,1.11,1.12,0.1424,0.084,-0.084
1.125,1.12,1.13,0.1403,0.0848,-0.0848
1.1349999999999998,1.13,1.14,0.1386,0.0859,-0.0859
1.145,1.14,1.15,0.1375,0.0873,-0.0873
1.1549999999999998,1.15,1.16,0.1368,0.0891,-0.0891
1.165,1.16,1.17,0.1366,0.0912,-0.0912
1.1749999999999998,1.17,1.18,0.1368,0.0936,-0.0936
1.185,1.18,1.19,0.1373,0.0962,-0.0962
1.1949999999999998,1.19,1.2,0.1382,0.099,-0.099
1.205,1.2,1.21,0.1395,0.102,-0.102
1.2149999999999999,1.21,1.22,0.1411,0.1052,-0.1052
1.225,1.22,1.23,0.1431,0.1085,-0.1085
1.2349999999999999,1.23,1.24,0.1454,0.112,-0.112
1.245,1.24,1.25,0.1481,0.1157,-0.1157
1.255,1.25,1.26,0.1512,0.1195,-0.1195
1.2650000000000001,1.26,1.27,0.1547,0.1236,-0.1236
1.275,1.27,1.28,0.1587,0.1279,-0.1279
1.2850000000000001,1.28,1.29,0.1631,0.1325,-0.1325
1.295,1.29,1.3,0.1681,0.1374,-0.1374
1.3050000000000002,1.3,1.31,0.1736,0.1427,-0.1427
1.315,1.31,1.32,0.1798,0.1485,-0.1485
1.3250000000000002,1.32,1.33,0.1867,0.1549,-0.1549
1.335,1.33,1.34,0.1944,0.1618,-0.1618
1.3450000000000002,1.34,1.35,0.203,0.1694,-0.1694
1.355,1.35,1.36,0.2125,0.1778,-0.1778
1.3650000000000002,1.36,1.37,0.2231,0.1871,-0.1871
1.375,1.37,1.38,0.2349,0.1973,-0.1973
1.3849999999999998,1.38,1.39,0.248,0.2085,-0.2085
1.395,1.39,1.4,0.2626,0.2208,-0.2208

