#: table_doi: 10.17182/hepdata.74824.v1/t182
#: name: Table 182
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table182.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
1.245,1.24,1.25,-0.0803,0.0131,-0.0131
1.255,1.25,1.26,-0.0818,0.0125,-0.0125
1.2650000000000001,1.26,1.27,-0.0846,0.0124,-0.0124
1.275,1.27,1.28,-0.0888,0.0125,-0.0125
1.2850000000000001,1.28,1.29,-0.0939,0.0128,-0.0128
1.295,1.29,1.3,-0.0999,0.0134,-0.0134
1.3050000000000002,1.3,1.31,-0.1061,0.0143,-0.0143
1.315,1.31,1.32,-0.1121,0.0156,-0.0156
1.3250000000000002,1.32,1.33,-0.1174,0.017,-0.017
1.335,1.33,1.34,-0.1216,0.0185,-0.0185
1.3450000000000002,1.34,1.35,-0.1243,0.02,-0.02
1.355,1.35,1.36,-0.1253,0.0213,-0.0213
1.3650000000000002,1.36,1.37,-0.1245,0.0226,-0.0226
1.375,1.37,1.38,-0.1219,0.0241,-0.0241
1.3849999999999998,1.38,1.39,-0.1174,0.026,-0.026
1.395,1.39,1.4,-0.1113,0.0285,-0.0285

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.405,0.4,0.41,-0.0206,0.0294,-0.0294
0.415,0.41,0.42,-0.0175,0.0273,-0.0273
0.425,0.42,0.43,-0.0143,0.0253,-0.0253
0.435,0.43,0.44,-0.011,0.0236,-0.0236
0.445,0.44,0.45,-0.0075,0.0222,-0.0222
0.455,0.45,0.46,-0.004,0.021,-0.021
0.46499999999999997,0.46,0.47,-0.0005,0.02,-0.02
0.475,0.47,0.48,0.0031,0.0192,-0.0192
0.485,0.48,0.49,0.0067,0.0186,-0.0186
0.495,0.49,0.5,0.0102,0.0181,-0.0181
0.505,0.5,0.51,0.0138,0.0178,-0.0178
0.515,0.51,0.52,0.0173,0.0175,-0.0175
0.525,0.52,0.53,0.0207,0.0174,-0.0174
0.535,0.53,0.54,0.024,0.0172,-0.0172
0.545,0.54,0.55,0.0272,0.0171,-0.0171
0.555,0.55,0.56,0.03,0.017,-0.017
0.565,0.56,0.57,0.0326,0.0169,-0.0169
0.575,0.57,0.58,0.0348,0.0167,-0.0167
0.585,0.58,0.59,0.0366,0.0164,-0.0164
0.595,0.59,0.6,0.0379,0.0161,-0.0161
0.605,0.6,0.61,0.0386,0.0157,-0.0157
0.615,0.61,0.62,0.0386,0.0152,-0.0152
0.625,0.62,0.63,0.038,0.0148,-0.0148
0.635,0.63,0.64,0.0366,0.0143,-0.0143
0.645,0.64,0.65,0.0345,0.0139,-0.0139
0.655,0.65,0.66,0.0316,0.0136,-0.0136
0.665,0.66,0.67,0.0279,0.0133,-0.0133
0.675,0.67,0.68,0.0234,0.013,-0.013
0.685,0.68,0.69,0.0181,0.0127,-0.0127
0.695,0.69,0.7,0.0121,0.0124,-0.0124
