#: table_doi: 10.17182/hepdata.74824.v1/t140
#: name: Table 140
#: description: Dp wave cross section for -T.

#: data_file: Table140.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
0.535,0.53,0.54,0.112,0.039,-0.039
0.545,0.54,0.55,0.1158,0.04,-0.04
0.555,0.55,0.56,0.1199,0.0411,-0.0411
0.565,0.56,0.57,0.1244,0.0424,-0.0424
0.575,0.57,0.58,0.1291,0.0437,-0.0437
0.585,0.58,0.59,0.134,0.0452,-0.0452
0.595,0.59,0.6,0.139,0.0468,-0.0468
0.605,0.6,0.61,0.1442,0.0485,-0.0485
0.615,0.61,0.62,0.1494,0.0502,-0.0502
0.625,0.62,0.63,0.1546,0.0519,-0.0519
0.635,0.63,0.64,0.1599,0.0537,-0.0537
0.645,0.64,0.65,0.165,0.0555,-0.0555
0.655,0.65,0.66,0.1701,0.0572,-0.0572
0.665,0.66,0.67,0.175,0.059,-0.059
0.675,0.67,0.68,0.1798,0.0607,-0.0607
0.685,0.68,0.69,0.1844,0.0623,-0.0623
0.695,0.69,0.7,0.1887,0.0639,-0.0639
0.705,0.7,0.71,0.1928,0.0654,-0.0654
0.715,0.71,0.72,0.1966,0.0669,-0.0669
0.725,0.72,0.73,0.2001,0.0682,-0.0682
0.735,0.73,0.74,0.2033,0.0695,-0.0695
0.745,0.74,0.75,0.2062,0.0707,-0.0707
0.755,0.75,0.76,0.2087,0.0718,-0.0718
0.765,0.76,0.77,0.2108,0.0729,-0.0729
0.775,0.77,0.78,0.2125,0.0739,-0.0739
0.785,0.78,0.79,0.2139,0.0748,-0.0748
0.795,0.79,0.8,0.2149,0.0756,-0.0756
0.805,0.8,0.81,0.2156,0.0764,-0.0764
0.815,0.81,0.82,0.2158,0.0771,-0.0771
0.825,0.82,0.83,0.2157,0.0778,-0.0778
0.835,0.83,0.84,0.2153,0.0785,-0.0785
0.845,0.84,0.85,0.2145,0.0792,-0.0792
