#: table_doi: 10.17182/hepdata.74824.v1/t114
#: name: Table 114
#: description: P0 wave cross section for -T.

#: data_file: Table114.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0371,0.0154,-0.0154
0.415,0.41,0.42,0.0406,0.0162,-0.0162
0.425,0.42,0.43,0.0443,0.0169,-0.0169
0.435,0.43,0.44,0.0483,0.0178,-0.0178
0.445,0.44,0.45,0.0526,0.0187,-0.0187
0.455,0.45,0.46,0.0572,0.0197,-0.0197
0.46499999999999997,0.46,0.47,0.0623,0.0209,-0.0209
0.475,0.47,0.48,0.0678,0.0222,-0.0222
0.485,0.48,0.49,0.0739,0.0238,-0.0238
0.495,0.49,0.5,0.0807,0.0255,-0.0255
0.505,0.5,0.51,0.0882,0.0275,-0.0275
0.515,0.51,0.52,0.0966,0.0298,-0.0298
0.525,0.52,0.53,0.1059,0.0324,-0.0324
0.535,0.53,0.54,0.1163,0.0353,-0.0353
0.545,0.54,0.55,0.1281,0.0387,-0.0387
0.555,0.55,0.56,0.1413,0.0424,-0.0424
0.565,0.56,0.57,0.1563,0.0465,-0.0465
0.575,0.57,0.58,0.1732,0.0512,-0.0512
0.585,0.58,0.59,0.1925,0.0564,-0.0564
0.595,0.59,0.6,0.2144,0.0622,-0.0622
0.605,0.6,0.61,0.2394,0.0688,-0.0688
0.615,0.61,0.62,0.2681,0.076,-0.076
0.625,0.62,0.63,0.3008,0.0842,-0.0842
0.635,0.63,0.64,0.3385,0.0933,-0.0933
0.645,0.64,0.65,0.3816,0.1036,-0.1036
0.655,0.65,0.66,0.4311,0.115,-0.115
0.665,0.66,0.67,0.4875,0.1277,-0.1277
0.675,0.67,0.68,0.5514,0.1418,-0.1418
0.685,0.68,0.69,0.6229,0.157,-0.157
0.695,0.69,0.7,0.7012,0.1733,-0.1733
0.705,0.7,0.71,0.7839,0.1898,-0.1898
0.715,0.71,0.72,0.8668,0.2058,-0.2058
0.725,0.72,0.73,0.9427,0.2196,-0.2196
0.735,0.73,0.74,1.0021,0.2294,-0.2294
0.745,0.74,0.75,1.0344,0.2333,-0.2333
0.755,0.75,0.76,1.0315,0.23,-0.23
0.765,0.76,0.77,0.991,0.2195,-0.2195
0.775,0.77,0.78,0.9177,0.2032,-0.2032
0.785,0.78,0.79,0.8221,0.1836,-0.1836
0.795,0.79,0.8,0.7167,0.1631,-0.1631
0.805,0.8,0.81,0.6119,0.1435,-0.1435
0.815,0.81,0.82,0.5149,0.126,-0.126
0.825,0.82,0.83,0.4293,0.1111,-0.1111
0.835,0.83,0.84,0.3561,0.0986,-0.0986
0.845,0.84,0.85,0.2949,0.0884,-0.0884
0.855,0.85,0.86,0.2446,0.0799,-0.0799
0.865,0.86,0.87,0.2035,0.0729,-0.0729
0.875,0.87,0.88,0.1704,0.0671,-0.0671
0.885,0.88,0.89,0.1439,0.0623,-0.0623
0.895,0.89,0.9,0.1228,0.0582,-0.0582
0.905,0.9,0.91,0.1061,0.0549,-0.0549
0.915,0.91,0.92,0.0932,0.052,-0.052
0.925,0.92,0.93,0.0834,0.0497,-0.0497
0.935,0.93,0.94,0.076,0.0479,-0.0479
0.945,0.94,0.95,0.0707,0.0466,-0.0466
0.955,0.95,0.96,0.0671,0.0457,-0.0457
0.965,0.96,0.97,0.065,0.0452,-0.0452
0.975,0.97,0.98,0.064,0.0451,-0.0451
0.985,0.98,0.99,0.0639,0.0454,-0.0454
0.995,0.99,1.0,0.0646,0.0461,-0.0461
1.005,1.0,1.01,0.0659,0.047,-0.047
1.0150000000000001,1.01,1.02,0.0676,0.0482,-0.0482
1.025,1.02,1.03,0.0697,0.0497,-0.0497
1.0350000000000001,1.03,1.04,0.0721,0.0513,-0.0513
1.045,1.04,1.05,0.0745,0.0531,-0.0531
1.0550000000000002,1.05,1.06,0.0771,0.0551,-0.0551
1.065,1.06,1.07,0.0797,0.0571,-0.0571
1.0750000000000002,1.07,1.08,0.0821,0.0591,-0.0591
1.085,1.08,1.09,0.0845,0.0613,-0.0613
1.0950000000000002,1.09,1.1,0.0867,0.0634,-0.0634
1.105,1.1,1.11,0.0886,0.0655,-0.0655
1.1150000000000002,1.11,1.12,0.0903,0.0676,-0.0676
1.125,1.12,1.13,0.0917,0.0697,-0.0697
1.1349999999999998,1.13,1.14,0.0927,0.0717,-0.0717
1.145,1.14,1.15,0.0934,0.0736,-0.0736
1.1549999999999998,1.15,1.16,0.0937,0.0755,-0.0755
1.165,1.16,1.17,0.0937,0.0773,-0.0773
1.1749999999999998,1.17,1.18,0.0932,0.0789,-0.0789
1.185,1.18,1.19,0.0924,0.0805,-0.0805
1.1949999999999998,1.19,1.2,0.0911,0.082,-0.082
1.205,1.2,1.21,0.0896,0.0833,-0.0833
1.2149999999999999,1.21,1.22,0.0876,0.0846,-0.0846
1.225,1.22,1.23,0.0854,0.0857,-0.0857
1.2349999999999999,1.23,1.24,0.083,0.0867,-0.0867
1.245,1.24,1.25,0.0803,0.0877,-0.0877
1.255,1.25,1.26,0.0776,0.0886,-0.0886
1.2650000000000001,1.26,1.27,0.0748,0.0894,-0.0894
1.275,1.27,1.28,0.072,0.0902,-0.0902
1.2850000000000001,1.28,1.29,0.0694,0.091,-0.091
1.295,1.29,1.3,0.067,0.0919,-0.0919
1.3050000000000002,1.3,1.31,0.0651,0.0929,-0.0929
1.315,1.31,1.32,0.0637,0.0942,-0.0942
1.3250000000000002,1.32,1.33,0.0631,0.0959,-0.0959
1.335,1.33,1.34,0.0634,0.0981,-0.0981
1.3450000000000002,1.34,1.35,0.0648,0.1011,-0.1011
1.355,1.35,1.36,0.0676,0.105,-0.105
1.3650000000000002,1.36,1.37,0.072,0.1101,-0.1101
1.375,1.37,1.38,0.0784,0.1164,-0.1164
1.3849999999999998,1.38,1.39,0.0869,0.1243,-0.1243
1.395,1.39,1.4,0.0979,0.1337,-0.1337

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0429,0.0377,-0.0377
0.415,0.41,0.42,0.0463,0.0414,-0.0414
0.425,0.42,0.43,0.0497,0.0452,-0.0452
0.435,0.43,0.44,0.0533,0.0492,-0.0492
0.445,0.44,0.45,0.0569,0.0533,-0.0533
0.455,0.45,0.46,0.0608,0.0576,-0.0576
0.46499999999999997,0.46,0.47,0.0649,0.0621,-0.0621
0.475,0.47,0.48,0.0692,0.0668,-0.0668
0.485,0.48,0.49,0.0739,0.0717,-0.0717
0.495,0.49,0.5,0.079,0.0768,-0.0768
0.505,0.5,0.51,0.0846,0.0821,-0.0821
0.515,0.51,0.52,0.0908,0.0877,-0.0877
0.525,0.52,0.53,0.0976,0.0936,-0.0936
0.535,0.53,0.54,0.1053,0.0998,-0.0998
0.545,0.54,0.55,0.1139,0.1064,-0.1064
0.555,0.55,0.56,0.1237,0.1133,-0.1133
0.565,0.56,0.57,0.1348,0.1206,-0.1206
0.575,0.57,0.58,0.1474,0.1283,-0.1283
0.585,0.58,0.59,0.1619,0.1366,-0.1366
0.595,0.59,0.6,0.1786,0.1454,-0.1454
0.605,0.6,0.61,0.1979,0.1548,-0.1548
0.615,0.61,0.62,0.2202,0.165,-0.165
0.625,0.62,0.63,0.2461,0.1758,-0.1758
0.635,0.63,0.64,0.2761,0.1875,-0.1875
0.645,0.64,0.65,0.311,0.2001,-0.2001
0.655,0.65,0.66,0.3517,0.2136,-0.2136
0.665,0.66,0.67,0.3987,0.2281,-0.2281
0.675,0.67,0.68,0.4528,0.2433,-0.2433
0.685,0.68,0.69,0.5144,0.2591,-0.2591
0.695,0.69,0.7,0.5832,0.2749,-0.2749
0.705,0.7,0.71,0.6575,0.2898,-0.2898
0.715,0.71,0.72,0.7342,0.3024,-0.3024
0.725,0.72,0.73,0.8075,0.311,-0.311
0.735,0.73,0.74,0.869,0.3135,-0.3135
0.745,0.74,0.75,0.9093,0.308,-0.308
0.755,0.75,0.76,0.9202,0.2939,-0.2939
0.765,0.76,0.77,0.8982,0.2719,-0.2719
0.775,0.77,0.78,0.8459,0.2443,-0.2443
0.785,0.78,0.79,0.7716,0.2143,-0.2143
0.795,0.79,0.8,0.6854,0.1848,-0.1848
0.805,0.8,0.81,0.5968,0.1577,-0.1577
0.815,0.81,0.82,0.5124,0.1342,-0.1342
0.825,0.82,0.83,0.4361,0.1144,-0.1144
0.835,0.83,0.84,0.3694,0.0981,-0.0981
0.845,0.84,0.85,0.3123,0.0849,-0.0849
0.855,0.85,0.86,0.2641,0.0743,-0.0743
0.865,0.86,0.87,0.2239,0.0659,-0.0659
0.875,0.87,0.88,0.1904,0.0592,-0.0592
0.885,0.88,0.89,0.1628,0.0539,-0.0539
0.895,0.89,0.9,0.14,0.0499,-0.0499
0.905,0.9,0.91,0.1213,0.0468,-0.0468
0.915,0.91,0.92,0.106,0.0446,-0.0446
0.925,0.92,0.93,0.0936,0.043,-0.043
0.935,0.93,0.94,0.0836,0.0421,-0.0421
0.945,0.94,0.95,0.0757,0.0416,-0.0416
0.955,0.95,0.96,0.0695,0.0415,-0.0415
0.965,0.96,0.97,0.0648,0.0418,-0.0418
0.975,0.97,0.98,0.0614,0.0424,-0.0424
0.985,0.98,0.99,0.059,0.0432,-0.0432
0.995,0.99,1.0,0.0575,0.0443,-0.0443
1.005,1.0,1.01,0.0568,0.0457,-0.0457
1.0150000000000001,1.01,1.02,0.0568,0.0472,-0.0472
1.025,1.02,1.03,0.0573,0.0488,-0.0488
1.0350000000000001,1.03,1.04,0.0583,0.0507,-0.0507
1.045,1.04,1.05,0.0597,0.0526,-0.0526
1.0550000000000002,1.05,1.06,0.0614,0.0546,-0.0546
1.065,1.06,1.07,0.0634,0.0567,-0.0567
1.0750000000000002,1.07,1.08,0.0655,0.0589,-0.0589
1.085,1.08,1.09,0.0679,0.0611,-0.0611
1.0950000000000002,1.09,1.1,0.0703,0.0633,-0.0633
1.105,1.1,1.11,0.0728,0.0656,-0.0656
1.1150000000000002,1.11,1.12,0.0753,0.0678,-0.0678
1.125,1.12,1.13,0.0779,0.07,-0.07
1.1349999999999998,1.13,1.14,0.0804,0.0722,-0.0722
1.145,1.14,1.15,0.0828,0.0744,-0.0744
1.1549999999999998,1.15,1.16,0.0852,0.0766,-0.0766
1.165,1.16,1.17,0.0875,0.0787,-0.0787
1.1749999999999998,1.17,1.18,0.0897,0.0808,-0.0808
1.185,1.18,1.19,0.0918,0.0829,-0.0829
1.1949999999999998,1.19,1.2,0.0938,0.085,-0.085
1.205,1.2,1.21,0.0957,0.087,-0.087
1.2149999999999999,1.21,1.22,0.0975,0.0891,-0.0891
1.225,1.22,1.23,0.0993,0.0912,-0.0912
1.2349999999999999,1.23,1.24,0.101,0.0933,-0.0933
1.245,1.24,1.25,0.1027,0.0955,-0.0955
1.255,1.25,1.26,0.1044,0.0978,-0.0978
1.2650000000000001,1.26,1.27,0.1062,0.1002,-0.1002
1.275,1.27,1.28,0.1081,0.1028,-0.1028
1.2850000000000001,1.28,1.29,0.1102,0.1055,-0.1055
1.295,1.29,1.3,0.1126,0.1085,-0.1085
1.3050000000000002,1.3,1.31,0.1154,0.1117,-0.1117
1.315,1.31,1.32,0.1186,0.1152,-0.1152
1.3250000000000002,1.32,1.33,0.1223,0.1191,-0.1191
1.335,1.33,1.34,0.1268,0.1233,-0.1233
1.3450000000000002,1.34,1.35,0.1321,0.1281,-0.1281
1.355,1.35,1.36,0.1384,0.1336,-0.1336
1.3650000000000002,1.36,1.37,0.1458,0.1398,-0.1398
1.375,1.37,1.38,0.1546,0.147,-0.147
1.3849999999999998,1.38,1.39,0.1648,0.1553,-0.1553
1.395,1.39,1.4,0.1769,0.1651,-0.1651

