#: table_doi: 10.17182/hepdata.74824.v1/t181
#: name: Table 181
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table181.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
1.335,1.33,1.34,-0.088,0.0127,-0.0127
1.3450000000000002,1.34,1.35,-0.0873,0.0125,-0.0125
1.355,1.35,1.36,-0.0851,0.0127,-0.0127
1.3650000000000002,1.36,1.37,-0.0814,0.0137,-0.0137
1.375,1.37,1.38,-0.0761,0.016,-0.016
1.3849999999999998,1.38,1.39,-0.0694,0.0197,-0.0197
1.395,1.39,1.4,-0.0614,0.0248,-0.0248

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.405,0.4,0.41,0.0289,0.0483,-0.0483
0.415,0.41,0.42,0.0379,0.0487,-0.0487
0.425,0.42,0.43,0.0467,0.0481,-0.0481
0.435,0.43,0.44,0.0553,0.0466,-0.0466
0.445,0.44,0.45,0.0634,0.0443,-0.0443
0.455,0.45,0.46,0.0709,0.0413,-0.0413
0.46499999999999997,0.46,0.47,0.0777,0.0378,-0.0378
0.475,0.47,0.48,0.0837,0.0339,-0.0339
0.485,0.48,0.49,0.0889,0.0299,-0.0299
0.495,0.49,0.5,0.0932,0.0258,-0.0258
0.505,0.5,0.51,0.0966,0.0218,-0.0218
0.515,0.51,0.52,0.0991,0.0181,-0.0181
0.525,0.52,0.53,0.1007,0.0149,-0.0149
0.535,0.53,0.54,0.1015,0.0125,-0.0125
0.545,0.54,0.55,0.1013,0.0112,-0.0112
0.555,0.55,0.56,0.1003,0.0111,-0.0111
0.565,0.56,0.57,0.0983,0.0121,-0.0121
0.575,0.57,0.58,0.0954,0.0135,-0.0135
0.585,0.58,0.59,0.0915,0.0151,-0.0151
0.595,0.59,0.6,0.0866,0.0165,-0.0165
0.605,0.6,0.61,0.0808,0.0177,-0.0177
0.615,0.61,0.62,0.074,0.0184,-0.0184
0.625,0.62,0.63,0.0663,0.0187,-0.0187
0.635,0.63,0.64,0.0576,0.0185,-0.0185
0.645,0.64,0.65,0.0481,0.0179,-0.0179
0.655,0.65,0.66,0.0378,0.0171,-0.0171
0.665,0.66,0.67,0.0269,0.0161,-0.0161
0.675,0.67,0.68,0.0154,0.0152,-0.0152
0.685,0.68,0.69,0.0036,0.0147,-0.0147
0.695,0.69,0.7,-0.0085,0.0148,-0.0148
0.705,0.7,0.71,-0.0207,0.0154,-0.0154
0.715,0.71,0.72,-0.0329,0.0165,-0.0165
0.725,0.72,0.73,-0.0448,0.0177,-0.0177
0.735,0.73,0.74,-0.0564,0.0189,-0.0189
0.745,0.74,0.75,-0.0676,0.0199,-0.0199
0.755,0.75,0.76,-0.0783,0.0207,-0.0207
0.765,0.76,0.77,-0.0884,0.0212,-0.0212
0.775,0.77,0.78,-0.0978,0.0215,-0.0215
0.785,0.78,0.79,-0.1064,0.0214,-0.0214
0.795,0.79,0.8,-0.1143,0.0211,-0.0211
0.805,0.8,0.81,-0.1215,0.0205,-0.0205
0.815,0.81,0.82,-0.1278,0.0197,-0.0197
0.825,0.82,0.83,-0.1334,0.0187,-0.0187
0.835,0.83,0.84,-0.1381,0.0175,-0.0175
0.845,0.84,0.85,-0.1421,0.0163,-0.0163
0.855,0.85,0.86,-0.1453,0.015,-0.015
0.865,0.86,0.87,-0.1478,0.0136,-0.0136
0.875,0.87,0.88,-0.1495,0.0124,-0.0124
0.885,0.88,0.89,-0.1506,0.0113,-0.0113
0.895,0.89,0.9,-0.1511,0.0104,-0.0104
0.905,0.9,0.91,-0.151,0.0097,-0.0097
0.915,0.91,0.92,-0.1503,0.0093,-0.0093
0.925,0.92,0.93,-0.1491,0.0093,-0.0093
0.935,0.93,0.94,-0.1475,0.0097,-0.0097
0.945,0.94,0.95,-0.1455,0.0104,-0.0104
0.955,0.95,0.96,-0.1431,0.0115,-0.0115
0.965,0.96,0.97,-0.1405,0.013,-0.013
0.975,0.97,0.98,-0.1381,0.015,-0.015
0.985,0.98,0.99,-0.1371,0.0168,-0.0168
0.995,0.99,1.0,-0.1368,0.0144,-0.0144
1.005,1.0,1.01,-0.1327,0.0168,-0.0168
1.0150000000000001,1.01,1.02,-0.1289,0.0183,-0.0183
1.025,1.02,1.03,-0.1251,0.0193,-0.0193
1.0350000000000001,1.03,1.04,-0.1212,0.0199,-0.0199
1.045,1.04,1.05,-0.1174,0.0201,-0.0201
1.0550000000000002,1.05,1.06,-0.1136,0.0201,-0.0201
1.065,1.06,1.07,-0.1099,0.0197,-0.0197
1.0750000000000002,1.07,1.08,-0.1064,0.0191,-0.0191
1.085,1.08,1.09,-0.1031,0.0183,-0.0183
1.0950000000000002,1.09,1.1,-0.1,0.0172,-0.0172
1.105,1.1,1.11,-0.0972,0.016,-0.016
1.1150000000000002,1.11,1.12,-0.0946,0.0147,-0.0147
1.125,1.12,1.13,-0.0923,0.0134,-0.0134
1.1349999999999998,1.13,1.14,-0.0903,0.0121,-0.0121
1.145,1.14,1.15,-0.0886,0.0111,-0.0111
1.1549999999999998,1.15,1.16,-0.0871,0.0106,-0.0106
1.165,1.16,1.17,-0.0859,0.0107,-0.0107
1.1749999999999998,1.17,1.18,-0.085,0.0114,-0.0114
1.185,1.18,1.19,-0.0844,0.0126,-0.0126
1.1949999999999998,1.19,1.2,-0.084,0.0142,-0.0142
1.205,1.2,1.21,-0.0838,0.0159,-0.0159
1.2149999999999999,1.21,1.22,-0.084,0.0175,-0.0175
1.225,1.22,1.23,-0.0844,0.0189,-0.0189
1.2349999999999999,1.23,1.24,-0.0852,0.0199,-0.0199
1.245,1.24,1.25,-0.0863,0.0206,-0.0206
1.255,1.25,1.26,-0.0876,0.0208,-0.0208
1.2650000000000001,1.26,1.27,-0.0893,0.0206,-0.0206
1.275,1.27,1.28,-0.0912,0.02,-0.02
1.2850000000000001,1.28,1.29,-0.0934,0.0192,-0.0192
1.295,1.29,1.3,-0.0956,0.0184,-0.0184
1.3050000000000002,1.3,1.31,-0.0979,0.0177,-0.0177
1.315,1.31,1.32,-0.1001,0.0173,-0.0173
1.3250000000000002,1.32,1.33,-0.1021,0.0174,-0.0174
1.335,1.33,1.34,-0.1035,0.0179,-0.0179
1.3450000000000002,1.34,1.35,-0.1043,0.0188,-0.0188
1.355,1.35,1.36,-0.1041,0.0196,-0.0196
1.3650000000000002,1.36,1.37,-0.1027,0.0202,-0.0202
1.375,1.37,1.38,-0.1,0.0204,-0.0204
1.3849999999999998,1.38,1.39,-0.096,0.0205,-0.0205
1.395,1.39,1.4,-0.0908,0.0211,-0.0211

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.405,0.4,0.41,0.0382,0.0642,-0.0642
0.415,0.41,0.42,0.0489,0.0654,-0.0654
0.425,0.42,0.43,0.058,0.0653,-0.0653
0.435,0.43,0.44,0.0655,0.0638,-0.0638
0.445,0.44,0.45,0.0716,0.0614,-0.0614
0.455,0.45,0.46,0.0762,0.0583,-0.0583
0.46499999999999997,0.46,0.47,0.0796,0.0551,-0.0551
0.475,0.47,0.48,0.082,0.052,-0.052
0.485,0.48,0.49,0.0835,0.0492,-0.0492
0.495,0.49,0.5,0.0842,0.0467,-0.0467
0.505,0.5,0.51,0.0842,0.0447,-0.0447
0.515,0.51,0.52,0.0835,0.0428,-0.0428
0.525,0.52,0.53,0.0823,0.0412,-0.0412
0.535,0.53,0.54,0.0806,0.0395,-0.0395
0.545,0.54,0.55,0.0783,0.0379,-0.0379
0.555,0.55,0.56,0.0755,0.0362,-0.0362
0.565,0.56,0.57,0.0722,0.0343,-0.0343
0.575,0.57,0.58,0.0684,0.0324,-0.0324
0.585,0.58,0.59,0.0642,0.0303,-0.0303
0.595,0.59,0.6,0.0594,0.028,-0.028
0.605,0.6,0.61,0.0541,0.0258,-0.0258
0.615,0.61,0.62,0.0483,0.0235,-0.0235
0.625,0.62,0.63,0.042,0.0213,-0.0213
0.635,0.63,0.64,0.0352,0.0192,-0.0192
0.645,0.64,0.65,0.0278,0.0174,-0.0174
0.655,0.65,0.66,0.0198,0.0159,-0.0159
0.665,0.66,0.67,0.0113,0.0148,-0.0148
0.675,0.67,0.68,0.0023,0.014,-0.014
0.685,0.68,0.69,-0.0072,0.0136,-0.0136
0.695,0.69,0.7,-0.017,0.0135,-0.0135
0.705,0.7,0.71,-0.0273,0.0135,-0.0135
0.715,0.71,0.72,-0.0377,0.0136,-0.0136
0.725,0.72,0.73,-0.0484,0.0136,-0.0136
0.735,0.73,0.74,-0.059,0.0135,-0.0135
0.745,0.74,0.75,-0.0697,0.0132,-0.0132
0.755,0.75,0.76,-0.0801,0.0126,-0.0126
0.765,0.76,0.77,-0.0903,0.012,-0.012
0.775,0.77,0.78,-0.1001,0.0114,-0.0114
0.785,0.78,0.79,-0.1094,0.0108,-0.0108
0.795,0.79,0.8,-0.1181,0.0105,-0.0105
0.805,0.8,0.81,-0.1262,0.0103,-0.0103
0.815,0.81,0.82,-0.1336,0.0103,-0.0103
0.825,0.82,0.83,-0.1403,0.0105,-0.0105
0.835,0.83,0.84,-0.1462,0.0109,-0.0109
0.845,0.84,0.85,-0.1513,0.0113,-0.0113
0.855,0.85,0.86,-0.1556,0.0117,-0.0117
0.865,0.86,0.87,-0.1591,0.0122,-0.0122
0.875,0.87,0.88,-0.1619,0.0127,-0.0127
0.885,0.88,0.89,-0.164,0.0133,-0.0133
0.895,0.89,0.9,-0.1655,0.0139,-0.0139
0.905,0.9,0.91,-0.1665,0.0146,-0.0146
0.915,0.91,0.92,-0.1669,0.0152,-0.0152
0.925,0.92,0.93,-0.1669,0.0159,-0.0159
0.935,0.93,0.94,-0.1666,0.0165,-0.0165
0.945,0.94,0.95,-0.166,0.0171,-0.0171
0.955,0.95,0.96,-0.1653,0.0176,-0.0176
0.965,0.96,0.97,-0.1649,0.0178,-0.0178
0.975,0.97,0.98,-0.1651,0.0178,-0.0178
0.985,0.98,0.99,-0.1682,0.0195,-0.0195
0.995,0.99,1.0,-0.1697,0.0181,-0.0181
1.005,1.0,1.01,-0.1698,0.017,-0.017
1.0150000000000001,1.01,1.02,-0.1684,0.0171,-0.0171
1.025,1.02,1.03,-0.166,0.0175,-0.0175
1.0350000000000001,1.03,1.04,-0.1629,0.018,-0.018
1.045,1.04,1.05,-0.1592,0.0184,-0.0184
1.0550000000000002,1.05,1.06,-0.1549,0.0188,-0.0188
1.065,1.06,1.07,-0.1503,0.0192,-0.0192
1.0750000000000002,1.07,1.08,-0.1453,0.0195,-0.0195
1.085,1.08,1.09,-0.1402,0.0198,-0.0198
1.0950000000000002,1.09,1.1,-0.135,0.02,-0.02
1.105,1.1,1.11,-0.1298,0.0202,-0.0202
1.1150000000000002,1.11,1.12,-0.1247,0.0204,-0.0204
1.125,1.12,1.13,-0.1197,0.0206,-0.0206
1.1349999999999998,1.13,1.14,-0.1148,0.0208,-0.0208
1.145,1.14,1.15,-0.1102,0.0209,-0.0209
1.1549999999999998,1.15,1.16,-0.1058,0.021,-0.021
1.165,1.16,1.17,-0.1017,0.021,-0.021
1.1749999999999998,1.17,1.18,-0.0978,0.021,-0.021
1.185,1.18,1.19,-0.0942,0.0209,-0.0209
1.1949999999999998,1.19,1.2,-0.091,0.0206,-0.0206
1.205,1.2,1.21,-0.0883,0.0203,-0.0203
1.2149999999999999,1.21,1.22,-0.086,0.0199,-0.0199
1.225,1.22,1.23,-0.0843,0.0196,-0.0196
1.2349999999999999,1.23,1.24,-0.0833,0.0192,-0.0192
1.245,1.24,1.25,-0.0831,0.019,-0.019
1.255,1.25,1.26,-0.0838,0.0188,-0.0188
1.2650000000000001,1.26,1.27,-0.0854,0.0186,-0.0186
1.275,1.27,1.28,-0.0879,0.0185,-0.0185
1.2850000000000001,1.28,1.29,-0.0912,0.0186,-0.0186
1.295,1.29,1.3,-0.0951,0.0189,-0.0189
1.3050000000000002,1.3,1.31,-0.0995,0.0196,-0.0196
1.315,1.31,1.32,-0.1042,0.0209,-0.0209
1.3250000000000002,1.32,1.33,-0.1089,0.0226,-0.0226
1.335,1.33,1.34,-0.1134,0.0243,-0.0243
1.3450000000000002,1.34,1.35,-0.1172,0.0257,-0.0257
1.355,1.35,1.36,-0.1201,0.0264,-0.0264
1.3650000000000002,1.36,1.37,-0.1218,0.0262,-0.0262
1.375,1.37,1.38,-0.1217,0.0252,-0.0252
1.3849999999999998,1.38,1.39,-0.1198,0.0239,-0.0239
1.395,1.39,1.4,-0.1158,0.0235,-0.0235

