#: table_doi: 10.17182/hepdata.74824.v1/t116
#: name: Table 116
#: description: Pp wave cross section for -T.

#: data_file: Table116.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
1.2650000000000001,1.26,1.27,0.3296,0.2591,-0.2591
1.275,1.27,1.28,0.3268,0.2586,-0.2586
1.2850000000000001,1.28,1.29,0.3252,0.2581,-0.2581
1.295,1.29,1.3,0.3247,0.2578,-0.2578
1.3050000000000002,1.3,1.31,0.3256,0.2581,-0.2581
1.315,1.31,1.32,0.3279,0.2591,-0.2591
1.3250000000000002,1.32,1.33,0.3318,0.2612,-0.2612
1.335,1.33,1.34,0.3377,0.2646,-0.2646
1.3450000000000002,1.34,1.35,0.3456,0.2695,-0.2695
1.355,1.35,1.36,0.356,0.2762,-0.2762
1.3650000000000002,1.36,1.37,0.3691,0.2847,-0.2847
1.375,1.37,1.38,0.3853,0.2953,-0.2953
1.3849999999999998,1.38,1.39,0.4051,0.308,-0.308
1.395,1.39,1.4,0.4289,0.3229,-0.3229

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1301,0.0734,-0.0734
0.415,0.41,0.42,0.1428,0.0789,-0.0789
0.425,0.42,0.43,0.1568,0.0849,-0.0849
0.435,0.43,0.44,0.1722,0.0914,-0.0914
0.445,0.44,0.45,0.1896,0.0984,-0.0984
0.455,0.45,0.46,0.2093,0.1062,-0.1062
0.46499999999999997,0.46,0.47,0.2318,0.1147,-0.1147
0.475,0.47,0.48,0.2576,0.124,-0.124
0.485,0.48,0.49,0.2875,0.1342,-0.1342
0.495,0.49,0.5,0.3221,0.1452,-0.1452
0.505,0.5,0.51,0.3624,0.1571,-0.1571
0.515,0.51,0.52,0.4093,0.1699,-0.1699
0.525,0.52,0.53,0.4641,0.1837,-0.1837
0.535,0.53,0.54,0.5283,0.1985,-0.1985
0.545,0.54,0.55,0.6034,0.2142,-0.2142
0.555,0.55,0.56,0.6916,0.2311,-0.2311
0.565,0.56,0.57,0.7953,0.2492,-0.2492
0.575,0.57,0.58,0.9172,0.2686,-0.2686
0.585,0.58,0.59,1.0611,0.2895,-0.2895
0.595,0.59,0.6,1.2309,0.3123,-0.3123
0.605,0.6,0.61,1.4319,0.3373,-0.3373
0.615,0.61,0.62,1.6703,0.3652,-0.3652
0.625,0.62,0.63,1.9534,0.3965,-0.3965
0.635,0.63,0.64,2.2902,0.4324,-0.4324
0.645,0.64,0.65,2.6912,0.474,-0.474
0.655,0.65,0.66,3.1685,0.5229,-0.5229
0.665,0.66,0.67,3.7355,0.581,-0.581
0.675,0.67,0.68,4.4058,0.6504,-0.6504
0.685,0.68,0.69,5.1908,0.7332,-0.7332
0.695,0.69,0.7,6.0961,0.8309,-0.8309
0.705,0.7,0.71,7.1142,0.944,-0.944
0.715,0.71,0.72,8.2154,1.0702,-1.0702
0.725,0.72,0.73,9.3374,1.2037,-1.2037
0.735,0.73,0.74,10.3805,1.3336,-1.3336
0.745,0.74,0.75,11.2166,1.4451,-1.4451
