#: table_doi: 10.17182/hepdata.74824.v1/t145
#: name: Table 145
#: description: F wave cross section for -T.

#: data_file: Table145.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.455,0.45,0.46,0.3536,0.2318,-0.2318
0.46499999999999997,0.46,0.47,0.3867,0.2532,-0.2532
0.475,0.47,0.48,0.4198,0.2746,-0.2746
0.485,0.48,0.49,0.4529,0.2958,-0.2958
0.495,0.49,0.5,0.4858,0.3169,-0.3169
0.505,0.5,0.51,0.5183,0.3376,-0.3376
0.515,0.51,0.52,0.5503,0.358,-0.358
0.525,0.52,0.53,0.5818,0.378,-0.378
0.535,0.53,0.54,0.6127,0.3974,-0.3974
0.545,0.54,0.55,0.6428,0.4163,-0.4163
0.555,0.55,0.56,0.6722,0.4346,-0.4346
0.565,0.56,0.57,0.7007,0.4522,-0.4522
0.575,0.57,0.58,0.7283,0.4692,-0.4692
0.585,0.58,0.59,0.7549,0.4854,-0.4854
0.595,0.59,0.6,0.7806,0.5009,-0.5009
0.605,0.6,0.61,0.8052,0.5156,-0.5156
0.615,0.61,0.62,0.8287,0.5295,-0.5295
0.625,0.62,0.63,0.8511,0.5425,-0.5425
0.635,0.63,0.64,0.8723,0.5548,-0.5548
0.645,0.64,0.65,0.8925,0.5661,-0.5661
0.655,0.65,0.66,0.9114,0.5766,-0.5766
0.665,0.66,0.67,0.9292,0.5862,-0.5862
0.675,0.67,0.68,0.9458,0.595,-0.595
0.685,0.68,0.69,0.9612,0.6028,-0.6028
0.695,0.69,0.7,0.9754,0.6097,-0.6097
0.705,0.7,0.71,0.9884,0.6158,-0.6158
0.715,0.71,0.72,1.0002,0.6209,-0.6209
0.725,0.72,0.73,1.0108,0.6251,-0.6251
0.735,0.73,0.74,1.0203,0.6284,-0.6284
0.745,0.74,0.75,1.0285,0.6309,-0.6309
0.755,0.75,0.76,1.0356,0.6324,-0.6324
0.765,0.76,0.77,1.0415,0.6331,-0.6331
0.775,0.77,0.78,1.0463,0.6329,-0.6329
0.785,0.78,0.79,1.0499,0.6318,-0.6318
0.795,0.79,0.8,1.0525,0.6299,-0.6299
0.805,0.8,0.81,1.0539,0.6271,-0.6271
0.815,0.81,0.82,1.0543,0.6235,-0.6235
