#: table_doi: 10.17182/hepdata.74824.v1/t137
#: name: Table 137
#: description: D0 wave cross section for -T.

#: data_file: Table137.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
1.0150000000000001,1.01,1.02,0.1217,0.0939,-0.0939
1.025,1.02,1.03,0.1252,0.0973,-0.0973
1.0350000000000001,1.03,1.04,0.1287,0.1005,-0.1005
1.045,1.04,1.05,0.1321,0.1034,-0.1034
1.0550000000000002,1.05,1.06,0.1355,0.1061,-0.1061
1.065,1.06,1.07,0.1388,0.1084,-0.1084
1.0750000000000002,1.07,1.08,0.142,0.1104,-0.1104
1.085,1.08,1.09,0.1451,0.1119,-0.1119
1.0950000000000002,1.09,1.1,0.1481,0.1129,-0.1129
1.105,1.1,1.11,0.1509,0.1134,-0.1134
1.1150000000000002,1.11,1.12,0.1536,0.1133,-0.1133
1.125,1.12,1.13,0.156,0.1126,-0.1126
1.1349999999999998,1.13,1.14,0.1582,0.1113,-0.1113
1.145,1.14,1.15,0.1601,0.1092,-0.1092
1.1549999999999998,1.15,1.16,0.1617,0.1066,-0.1066
1.165,1.16,1.17,0.1629,0.1032,-0.1032
1.1749999999999998,1.17,1.18,0.1637,0.0993,-0.0993
1.185,1.18,1.19,0.1639,0.095,-0.095
1.1949999999999998,1.19,1.2,0.1634,0.0903,-0.0903
1.205,1.2,1.21,0.1621,0.0857,-0.0857
1.2149999999999999,1.21,1.22,0.1599,0.0815,-0.0815
1.225,1.22,1.23,0.1566,0.0782,-0.0782
1.2349999999999999,1.23,1.24,0.152,0.0762,-0.0762
1.245,1.24,1.25,0.1462,0.076,-0.076
1.255,1.25,1.26,0.1392,0.0778,-0.0778
1.2650000000000001,1.26,1.27,0.1311,0.0817,-0.0817
1.275,1.27,1.28,0.1224,0.0873,-0.0873
1.2850000000000001,1.28,1.29,0.1136,0.0938,-0.0938
1.295,1.29,1.3,0.1051,0.1006,-0.1006
1.3050000000000002,1.3,1.31,0.0973,0.1067,-0.1067
1.315,1.31,1.32,0.0907,0.1117,-0.1117
1.3250000000000002,1.32,1.33,0.0852,0.1154,-0.1154
1.335,1.33,1.34,0.0812,0.1182,-0.1182
1.3450000000000002,1.34,1.35,0.0785,0.1206,-0.1206
1.355,1.35,1.36,0.0772,0.1231,-0.1231
1.3650000000000002,1.36,1.37,0.0774,0.126,-0.126
1.375,1.37,1.38,0.0791,0.1298,-0.1298
1.3849999999999998,1.38,1.39,0.0824,0.1346,-0.1346
1.395,1.39,1.4,0.0874,0.141,-0.141

