#: table_doi: 10.17182/hepdata.74824.v1/t195
#: name: Table 195
#: description: Spin density matrix elements for the interference between the S- and P-waves for -T.

#: data_file: Table195.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10,SP-Interference)",error +,error -
1.185,1.18,1.19,0.0101,0.0238,-0.0238
1.1949999999999998,1.19,1.2,0.0127,0.0245,-0.0245
1.205,1.2,1.21,0.0155,0.0252,-0.0252
1.2149999999999999,1.21,1.22,0.0185,0.0257,-0.0257
1.225,1.22,1.23,0.0216,0.026,-0.026
1.2349999999999999,1.23,1.24,0.025,0.0262,-0.0262
1.245,1.24,1.25,0.0284,0.0262,-0.0262
1.255,1.25,1.26,0.0318,0.0261,-0.0261
1.2650000000000001,1.26,1.27,0.0352,0.0259,-0.0259
1.275,1.27,1.28,0.0383,0.0258,-0.0258
1.2850000000000001,1.28,1.29,0.041,0.0258,-0.0258
1.295,1.29,1.3,0.0434,0.0259,-0.0259
1.3050000000000002,1.3,1.31,0.0453,0.0263,-0.0263
1.315,1.31,1.32,0.0468,0.0268,-0.0268
1.3250000000000002,1.32,1.33,0.0479,0.0275,-0.0275
1.335,1.33,1.34,0.0487,0.0283,-0.0283
1.3450000000000002,1.34,1.35,0.0491,0.0291,-0.0291
1.355,1.35,1.36,0.0492,0.0296,-0.0296
1.3650000000000002,1.36,1.37,0.0491,0.0297,-0.0297
1.375,1.37,1.38,0.0487,0.0293,-0.0293
1.3849999999999998,1.38,1.39,0.048,0.0284,-0.0284
1.395,1.39,1.4,0.047,0.0273,-0.0273

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10,SP-Interference)",error +,error -
0.405,0.4,0.41,0.0584,0.0464,-0.0464
0.415,0.41,0.42,0.0606,0.043,-0.043
0.425,0.42,0.43,0.0625,0.0392,-0.0392
0.435,0.43,0.44,0.064,0.0353,-0.0353
0.445,0.44,0.45,0.0653,0.0313,-0.0313
0.455,0.45,0.46,0.0661,0.0274,-0.0274
0.46499999999999997,0.46,0.47,0.0666,0.0238,-0.0238
0.475,0.47,0.48,0.0667,0.0204,-0.0204
0.485,0.48,0.49,0.0663,0.0176,-0.0176
0.495,0.49,0.5,0.0654,0.0153,-0.0153
0.505,0.5,0.51,0.0641,0.0136,-0.0136
0.515,0.51,0.52,0.0624,0.0127,-0.0127
0.525,0.52,0.53,0.0602,0.0124,-0.0124
0.535,0.53,0.54,0.0575,0.0128,-0.0128
0.545,0.54,0.55,0.0544,0.0135,-0.0135
0.555,0.55,0.56,0.051,0.0145,-0.0145
0.565,0.56,0.57,0.0472,0.0156,-0.0156
0.575,0.57,0.58,0.0431,0.0165,-0.0165
0.585,0.58,0.59,0.0388,0.0173,-0.0173
0.595,0.59,0.6,0.0343,0.0177,-0.0177
0.605,0.6,0.61,0.0297,0.0178,-0.0178
0.615,0.61,0.62,0.0251,0.0174,-0.0174
0.625,0.62,0.63,0.0204,0.0166,-0.0166
0.635,0.63,0.64,0.0158,0.0154,-0.0154
0.645,0.64,0.65,0.0111,0.014,-0.014
0.655,0.65,0.66,0.0065,0.0126,-0.0126
0.665,0.66,0.67,0.002,0.0116,-0.0116
0.675,0.67,0.68,-0.0025,0.0113,-0.0113
0.685,0.68,0.69,-0.007,0.0118,-0.0118
0.695,0.69,0.7,-0.0113,0.0132,-0.0132
0.705,0.7,0.71,-0.0156,0.0149,-0.0149
0.715,0.71,0.72,-0.0198,0.0167,-0.0167
0.725,0.72,0.73,-0.0238,0.0183,-0.0183
0.735,0.73,0.74,-0.0277,0.0195,-0.0195
0.745,0.74,0.75,-0.0313,0.0201,-0.0201
0.755,0.75,0.76,-0.0348,0.0202,-0.0202
0.765,0.76,0.77,-0.0379,0.0197,-0.0197
0.775,0.77,0.78,-0.0409,0.0188,-0.0188
0.785,0.78,0.79,-0.0435,0.0176,-0.0176
0.795,0.79,0.8,-0.0459,0.0167,-0.0167
0.805,0.8,0.81,-0.0481,0.0164,-0.0164
0.815,0.81,0.82,-0.0499,0.0173,-0.0173
0.825,0.82,0.83,-0.0515,0.0195,-0.0195
0.835,0.83,0.84,-0.0529,0.0226,-0.0226
0.845,0.84,0.85,-0.0541,0.0262,-0.0262
