#: table_doi: 10.17182/hepdata.74824.v1/t164
#: name: Table 164
#: description: Fp wave cross section for -T.

#: data_file: Table164.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fpwave) [MUB/GEV**3]",error +,error -
0.635,0.63,0.64,0.1432,0.1169,-0.1169
0.645,0.64,0.65,0.147,0.1208,-0.1208
0.655,0.65,0.66,0.1506,0.1246,-0.1246
0.665,0.66,0.67,0.154,0.1284,-0.1284
0.675,0.67,0.68,0.1574,0.1321,-0.1321
0.685,0.68,0.69,0.1605,0.1357,-0.1357
0.695,0.69,0.7,0.1635,0.1392,-0.1392
0.705,0.7,0.71,0.1663,0.1426,-0.1426
0.715,0.71,0.72,0.169,0.146,-0.146
0.725,0.72,0.73,0.1715,0.1493,-0.1493
0.735,0.73,0.74,0.1739,0.1525,-0.1525
0.745,0.74,0.75,0.1761,0.1556,-0.1556
0.755,0.75,0.76,0.1781,0.1587,-0.1587
0.765,0.76,0.77,0.18,0.1616,-0.1616
0.775,0.77,0.78,0.1817,0.1645,-0.1645
0.785,0.78,0.79,0.1833,0.1672,-0.1672
0.795,0.79,0.8,0.1847,0.1699,-0.1699
0.805,0.8,0.81,0.186,0.1725,-0.1725
0.815,0.81,0.82,0.1871,0.175,-0.175
0.825,0.82,0.83,0.1881,0.1774,-0.1774
0.835,0.83,0.84,0.1889,0.1797,-0.1797
0.845,0.84,0.85,0.1896,0.1819,-0.1819
0.855,0.85,0.86,0.1902,0.184,-0.184
0.865,0.86,0.87,0.1906,0.1859,-0.1859
0.875,0.87,0.88,0.1909,0.1878,-0.1878
0.885,0.88,0.89,0.1911,0.1896,-0.1896
0.895,0.89,0.9,0.1912,0.1913,-0.1913
0.905,0.9,0.91,0.1912,0.1928,-0.1928
0.915,0.91,0.92,0.191,0.1943,-0.1943
0.925,0.92,0.93,0.1908,0.1956,-0.1956
0.935,0.93,0.94,0.1904,0.1968,-0.1968
0.945,0.94,0.95,0.19,0.1979,-0.1979
0.955,0.95,0.96,0.1895,0.1989,-0.1989
0.965,0.96,0.97,0.1889,0.1997,-0.1997
0.975,0.97,0.98,0.1882,0.2005,-0.2005
0.985,0.98,0.99,0.1875,0.2011,-0.2011
0.995,0.99,1.0,0.1867,0.2015,-0.2015
1.005,1.0,1.01,0.1858,0.2019,-0.2019
1.0150000000000001,1.01,1.02,0.1849,0.2021,-0.2021
1.025,1.02,1.03,0.1839,0.2022,-0.2022
1.0350000000000001,1.03,1.04,0.1829,0.2021,-0.2021
1.045,1.04,1.05,0.1819,0.2019,-0.2019
1.0550000000000002,1.05,1.06,0.1809,0.2015,-0.2015
1.065,1.06,1.07,0.1798,0.201,-0.201
1.0750000000000002,1.07,1.08,0.1788,0.2004,-0.2004
1.085,1.08,1.09,0.1778,0.1996,-0.1996
1.0950000000000002,1.09,1.1,0.1767,0.1986,-0.1986
1.105,1.1,1.11,0.1757,0.1975,-0.1975
1.1150000000000002,1.11,1.12,0.1747,0.1963,-0.1963
1.125,1.12,1.13,0.1738,0.1949,-0.1949
1.1349999999999998,1.13,1.14,0.1729,0.1933,-0.1933
1.145,1.14,1.15,0.1721,0.1916,-0.1916
1.1549999999999998,1.15,1.16,0.1714,0.1897,-0.1897
1.165,1.16,1.17,0.1707,0.1877,-0.1877
1.1749999999999998,1.17,1.18,0.1701,0.1855,-0.1855
1.185,1.18,1.19,0.1696,0.1832,-0.1832
1.1949999999999998,1.19,1.2,0.1692,0.1807,-0.1807
1.205,1.2,1.21,0.169,0.1781,-0.1781
1.2149999999999999,1.21,1.22,0.1689,0.1754,-0.1754
