#: table_doi: 10.17182/hepdata.74824.v1/t103
#: name: Table 103
#: description: Pm wave cross section for -T.

#: data_file: Table103.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.445,0.44,0.45,0.1618,0.138,-0.138
0.455,0.45,0.46,0.1701,0.1405,-0.1405
0.46499999999999997,0.46,0.47,0.1785,0.1421,-0.1421
0.475,0.47,0.48,0.1871,0.1428,-0.1428
0.485,0.48,0.49,0.1963,0.1427,-0.1427
0.495,0.49,0.5,0.206,0.1419,-0.1419
0.505,0.5,0.51,0.2167,0.1406,-0.1406
0.515,0.51,0.52,0.2284,0.1392,-0.1392
0.525,0.52,0.53,0.2416,0.1381,-0.1381
0.535,0.53,0.54,0.2564,0.1379,-0.1379
0.545,0.54,0.55,0.2735,0.1394,-0.1394
0.555,0.55,0.56,0.2931,0.1435,-0.1435
0.565,0.56,0.57,0.3159,0.1513,-0.1513
0.575,0.57,0.58,0.3424,0.1635,-0.1635
0.585,0.58,0.59,0.3736,0.1812,-0.1812
0.595,0.59,0.6,0.4102,0.2047,-0.2047
0.605,0.6,0.61,0.4534,0.2346,-0.2346
0.615,0.61,0.62,0.5045,0.2713,-0.2713
0.625,0.62,0.63,0.565,0.3151,-0.3151
0.635,0.63,0.64,0.6368,0.3667,-0.3667
0.645,0.64,0.65,0.7221,0.4265,-0.4265
0.655,0.65,0.66,0.8233,0.4952,-0.4952
0.665,0.66,0.67,0.9431,0.5733,-0.5733
0.675,0.67,0.68,1.0841,0.6609,-0.6609
0.685,0.68,0.69,1.2483,0.7575,-0.7575
0.695,0.69,0.7,1.4366,0.8613,-0.8613
0.705,0.7,0.71,1.6469,0.9687,-0.9687
0.715,0.71,0.72,1.8723,1.073,-1.073
0.725,0.72,0.73,2.0994,1.1645,-1.1645
0.735,0.73,0.74,2.3071,1.2307,-1.2307
0.745,0.74,0.75,2.4691,1.2588,-1.2588
0.755,0.75,0.76,2.5602,1.2403,-1.2403
0.765,0.76,0.77,2.5651,1.1748,-1.1748
0.775,0.77,0.78,2.4851,1.0713,-1.0713
0.785,0.78,0.79,2.337,0.9456,-0.9456
0.795,0.79,0.8,2.1461,0.8146,-0.8146
0.805,0.8,0.81,1.9375,0.6916,-0.6916
0.815,0.81,0.82,1.7304,0.5849,-0.5849
0.825,0.82,0.83,1.5371,0.4978,-0.4978
0.835,0.83,0.84,1.3639,0.4299,-0.4299
0.845,0.84,0.85,1.2128,0.3789,-0.3789
0.855,0.85,0.86,1.0831,0.3414,-0.3414
0.865,0.86,0.87,0.9733,0.3138,-0.3138
0.875,0.87,0.88,0.881,0.2932,-0.2932
0.885,0.88,0.89,0.804,0.2772,-0.2772
0.895,0.89,0.9,0.7401,0.2641,-0.2641
0.905,0.9,0.91,0.6873,0.2529,-0.2529
0.915,0.91,0.92,0.6441,0.2429,-0.2429
0.925,0.92,0.93,0.609,0.2337,-0.2337
0.935,0.93,0.94,0.5807,0.2253,-0.2253
0.945,0.94,0.95,0.5583,0.2176,-0.2176
0.955,0.95,0.96,0.5409,0.2106,-0.2106
0.965,0.96,0.97,0.5277,0.2045,-0.2045
0.975,0.97,0.98,0.5181,0.1993,-0.1993
0.985,0.98,0.99,0.5115,0.1952,-0.1952
0.995,0.99,1.0,0.5074,0.1923,-0.1923
1.005,1.0,1.01,0.5054,0.1906,-0.1906
1.0150000000000001,1.01,1.02,0.5052,0.1902,-0.1902
1.025,1.02,1.03,0.5062,0.191,-0.191
1.0350000000000001,1.03,1.04,0.5084,0.193,-0.193
1.045,1.04,1.05,0.5112,0.196,-0.196
1.0550000000000002,1.05,1.06,0.5146,0.2,-0.2
1.065,1.06,1.07,0.5183,0.2048,-0.2048
1.0750000000000002,1.07,1.08,0.522,0.2103,-0.2103
1.085,1.08,1.09,0.5255,0.2162,-0.2162
1.0950000000000002,1.09,1.1,0.5286,0.2224,-0.2224
1.105,1.1,1.11,0.5312,0.2288,-0.2288
1.1150000000000002,1.11,1.12,0.5331,0.2353,-0.2353
1.125,1.12,1.13,0.5341,0.2416,-0.2416
1.1349999999999998,1.13,1.14,0.5342,0.2477,-0.2477
1.145,1.14,1.15,0.5331,0.2536,-0.2536
1.1549999999999998,1.15,1.16,0.5308,0.259,-0.259
1.165,1.16,1.17,0.5273,0.264,-0.264
1.1749999999999998,1.17,1.18,0.5223,0.2684,-0.2684
1.185,1.18,1.19,0.516,0.2723,-0.2723
1.1949999999999998,1.19,1.2,0.5082,0.2757,-0.2757
1.205,1.2,1.21,0.4989,0.2784,-0.2784
1.2149999999999999,1.21,1.22,0.4883,0.2806,-0.2806
1.225,1.22,1.23,0.4762,0.2823,-0.2823
1.2349999999999999,1.23,1.24,0.4628,0.2834,-0.2834
1.245,1.24,1.25,0.4482,0.2842,-0.2842
1.255,1.25,1.26,0.4326,0.2846,-0.2846
